,4fe4s_1,4fe4s_2,4fe4s_3,4fe4s_4,4fe4s_5,4fe4s_6,4fe4s_7,4fe4s_8,4fe4s_9,4fe4s_10
transcription_TU8J2_1002_from_BSU25200-MONOMER,1.6428166839442582e-11,1.6186726789409033e-11,1.5945417972189026e-11,1.570400055490496e-11,1.5462386008507952e-11,1.5221318820817637e-11,1.497993554362342e-11,1.473868158691829e-11,1.4497320942180395e-11,1.4255971804809683e-11
transcription_TU8J2_34_from_BSU25200-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU8J2_57_from_BSU16470-MONOMER,3.0577801881754427e-12,3.057362282779652e-12,3.056972252857808e-12,3.0565543798496033e-12,3.0561365235935304e-12,3.055746539535303e-12,3.0553287156665594e-12,3.0549387618364267e-12,3.054520970354842e-12,3.0541031956251697e-12
transcription_TU8J2_134_from_BSU25200-MONOMER,5.242698620278765e-13,5.242312068714518e-13,5.241975828031766e-13,5.241589286680789e-13,5.241203842450868e-13,5.240866522259096e-13,5.240479996978549e-13,5.240143775452595e-13,5.239757260389282e-13,5.239370751182742e-13
transcription_TU8J2_324_from_BSU16470-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU8J2_546_from_BSU25200-MONOMER,1.8410265309363296e-10,1.845162796612302e-10,1.849315706214668e-10,1.853451578502425e-10,1.8575831250335664e-10,1.8617395862910109e-10,1.865874865343227e-10,1.870026819981423e-10,1.874161705649725e-10,1.8782963914703114e-10
transcription_TU8J2_1200_from_BSU25200-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU8J2_234_from_BSU25200-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU8J2_1554_from_BSU25200-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU8J2_540_from_BSU25200-MONOMER,2.4071204211715955e-09,2.4067914411434642e-09,2.4064844050153047e-09,2.406155450483061e-09,2.4058265091382918e-09,2.40551950911451e-09,2.4051905932654257e-09,2.404883617037554e-09,2.4045547266840212e-09,2.4042258495177905e-09
transcription_TU8J2_1187_from_BSU25200-MONOMER,4.350400910075793e-10,4.3363714337191785e-10,4.322378994049699e-10,4.30835082637688e-10,4.2943176255749353e-10,4.2803327913745633e-10,4.266306597979802e-10,4.252317328698337e-10,4.2382924439696106e-10,4.224268224836787e-10
transcription_TU8J2_154_from_BSU25200-MONOMER,2.4141058623753515e-09,2.413630683287099e-09,2.4131891031800733e-09,2.4127140271607286e-09,2.4122397485008566e-09,2.411797569814561e-09,2.411322650284338e-09,2.410881311230673e-09,2.4104064947459567e-09,2.4099317316834344e-09
transcription_TU8J2_1061_from_BSU15320-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU8J2_1070_from_BSU25200-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU8J2_848_from_BSU25200-MONOMER,5.205473209616151e-08,5.204905295435775e-08,5.204370369395244e-08,5.203802498843721e-08,5.203235413378561e-08,5.202699786893674e-08,5.2021319824603864e-08,5.201597159586577e-08,5.201029398783343e-08,5.2004616604693835e-08
transcription_TU8J2_2998_from_BSU25200-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU8J2_1297_from_BSU25200-MONOMER,2.0487163778910577e-10,2.0696585562014429e-10,2.0906207793296973e-10,2.111560979305996e-10,0.0,2.153459511469901e-10,2.1743967275598615e-10,2.1953541527130554e-10,2.21628939049442e-10,2.2372236227212033e-10
transcription_TU8J2_833_from_BSU25200-MONOMER,1.239823769840396e-09,1.2397609144347938e-09,1.2397100362419243e-09,1.2396471835657618e-09,1.2395963765165147e-09,1.2395334574110968e-09,1.2394706090321616e-09,1.2394197359755183e-09,1.2393568903320592e-09,1.239294046255837e-09
transcription_TU8J2_20_from_BSU25200-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU8J2_1158_from_BSU25200-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU8J2_828_from_BSU25200-MONOMER,2.4141058623753515e-09,2.413630683287099e-09,2.4131891031800733e-09,2.4127140271607286e-09,2.4122397485008566e-09,2.411797569814561e-09,2.411322650284338e-09,2.410881311230673e-09,2.4104064947459567e-09,2.4099317316834344e-09
transcription_TU8J2_176_from_BSU25200-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU8J2_185_from_BSU25200-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU8J2_2954_from_BSU25200-MONOMER,7.326036671976279e-14,7.322268694026394e-14,7.318613994997333e-14,7.314847574721302e-14,7.311080306493425e-14,7.307429503424204e-14,7.303665436353334e-14,7.300014479799058e-14,7.296251969969047e-14,7.292490255709012e-14
transcription_TU8J2_597_from_BSU04730-MONOMER,8.043413030906974e-10,8.050963542548208e-10,8.058590411909169e-10,8.066140211120158e-10,8.07371013188807e-10,8.081315479447904e-10,8.088864204967664e-10,8.096489339284377e-10,8.104037352381413e-10,8.111585004212428e-10
transcription_TU8J2_474_from_BSU25200-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU8J2_288_from_BSU25200-MONOMER,1.207079739399828e-10,1.2069147683733968e-10,1.206760801381839e-10,1.20659584314063e-10,1.2064308915124398e-10,1.20627694262586e-10,1.2061120037827906e-10,1.2059580668289588e-10,1.205793140770943e-10,1.20562822132586e-10
transcription_TU8J2_1003_from_BSU25200-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU8J2_1012_from_BSU25200-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU8J2_1129_from_BSU04730-MONOMER,6.213694274797599e-16,6.241555752666413e-16,6.269520081013599e-16,6.297366227587311e-16,6.325208861244003e-16,6.353146544634666e-16,6.380969572411062e-16,6.408896707273735e-16,6.4367044082035e-16,6.46450432122781e-16
transcription_TU8J2_1235_from_BSU25200-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU8J2_469_from_BSU25200-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU8J2_445_from_BSU25200-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU8J2_1450_from_BSU25200-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU8J2_259_from_BSU25200-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU8J2_640_from_BSU15330-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU8J2_1188_from_BSU25200-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU8J2_746_from_BSU25200-MONOMER,3.800704126859593e-09,3.7990057937271445e-09,3.797341718745785e-09,3.79564354123116e-09,3.793946648498935e-09,3.7922815934880104e-09,3.7905836510388e-09,3.7889199504949635e-09,3.78722216366007e-09,3.785524456273088e-09
transcription_TU8J2_23_from_BSU25200-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU8J2_527_from_BSU25200-MONOMER,6.003687551926774e-10,6.008708735804501e-10,6.013785865250958e-10,6.018806573855186e-10,6.023826288709283e-10,6.028903474989553e-10,6.033923467323097e-10,6.038999439210844e-10,6.044018956274989e-10,6.049038232341561e-10
transcription_TU8J2_626_from_BSU25200-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU8J2_843_from_BSU25200-MONOMER,1.1790987203040953e-06,1.1790224879980428e-06,1.1789535335560125e-06,1.1788773061686067e-06,1.1788013484953079e-06,1.1787321337580899e-06,1.1786559138580352e-06,1.178586970766815e-06,1.1785107557858183e-06,1.1784345433734893e-06
transcription_TU8J2_726_from_BSU25200-MONOMER,1.1006090740071972e-12,1.1004586542770734e-12,1.1003182679691313e-12,1.100167859896507e-12,1.1000174578535992e-12,1.0998770880536826e-12,1.0997266976681818e-12,1.0995863387484832e-12,1.0994359600203285e-12,1.0992855873218112e-12
transcription_TU8J2_1042_from_BSU25200-MONOMER,1.288217533232276e-09,1.2881627741653906e-09,1.2881203321527017e-09,1.2880655731507868e-09,1.2880213444694188e-09,1.287968371614724e-09,1.2879136128906148e-09,1.2878711695624525e-09,1.2878164109100245e-09,1.2877616524698207e-09
transcription_TU8J2_1278_from_BSU25200-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU8J2_2955_from_BSU25200-MONOMER,1.1408644051791508e-09,1.1672030890610218e-09,1.193551123651301e-09,1.219905754729394e-09,1.2463218943733275e-09,1.2726397946730514e-09,1.2990185090769265e-09,1.3254052369264683e-09,1.3517999345397334e-09,1.3782027650544153e-09
transcription_TU8J2_186_from_BSU25200-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU8J2_598_from_BSU25200-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU8J2_709_from_BSU15330-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU8J2_484_from_BSU25200-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU8J2_583_from_BSU25200-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU8J2_171_from_BSU25200-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU8J2_1246_from_BSU25200-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU8J2_10_from_BSU25200-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU8J2_26_from_BSU25200-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU8J2_336_from_BSU34200-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU8J2_1100_from_BSU25200-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU8J2_665_from_BSU25200-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU8J2_785_from_BSU25200-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU8J2_1211_from_BSU25200-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU8J2_245_from_BSU25200-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU8J2_542_from_BSU25200-MONOMER,2.0890180932000117e-09,2.0986910493864196e-09,2.108384947556812e-09,2.1180569951738005e-09,2.127730029973124e-09,2.1374211532746916e-09,2.1470918307059035e-09,2.1567835236958306e-09,2.1664532925661997e-09,2.176122599819407e-09
transcription_TU8J2_650_from_MONOMER8J2-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU8J2_756_from_BSU25200-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU8J2_528_from_BSU25200-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU8J2_306_from_BSU23100-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU8J2_1307_from_BSU27120-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU8J2_1183_from_BSU25200-MONOMER,1.331110731298512e-12,1.3310243781690374e-12,1.330940513480259e-12,1.3308541710402173e-12,1.3307681939891067e-12,1.3306839843307983e-12,1.3305976581776661e-12,1.3305138180426204e-12,1.3304275025815467e-12,1.330341192717812e-12
transcription_TU8J2_411_from_BSU25200-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU8J2_1058_from_BSU25200-MONOMER,5.171734905556785e-12,5.17088721780953e-12,5.170108868926e-12,5.169261356691342e-12,5.1684152845062e-12,5.167635833084815e-12,5.166788587593994e-12,5.166010646959778e-12,5.165163576942095e-12,5.1643165981589646e-12
transcription_TU8J2_513_from_BSU25200-MONOMER,3.468774761564322e-13,3.468300685731388e-13,3.4678582320997044e-13,3.4673841930075536e-13,3.466910172919179e-13,3.4664677713156164e-13,3.465993787967735e-13,3.4655514206552086e-13,3.4650774740476265e-13,3.464603546443572e-13
transcription_TU8J2_1293_from_BSU25200-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU8J2_844_from_BSU15320-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU8J2_1043_from_BSU25200-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU8J2_727_from_BSU25200-MONOMER,1.3351203786706646e-09,1.3413024988583738e-09,1.347498003357918e-09,1.353679542866335e-09,1.3598617132966465e-09,1.366055444339116e-09,1.372236108142838e-09,1.3784302032810233e-09,1.3846102864109348e-09,1.3907900745149284e-09
transcription_TU8J2_5_from_BSU25200-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU8J2_1279_from_BSU25200-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU8J2_2965_from_BSU25200-MONOMER,1.037368849592206e-07,1.0375336143459425e-07,1.0377015373000649e-07,1.0378663602734269e-07,1.0380318408529135e-07,1.0381992206592523e-07,1.0383641315474226e-07,1.0385321955802015e-07,1.0386971647866307e-07,1.0388621636793856e-07
transcription_TU8J2_607_from_BSU25200-MONOMER,7.095851773701651e-09,7.094166052614796e-09,7.092544383870574e-09,7.090858812849281e-09,7.089175865995212e-09,7.087551865830665e-09,7.085866521789856e-09,7.084245211555366e-09,7.082560017575514e-09,7.080874900511003e-09
transcription_TU8J2_485_from_BSU25200-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU8J2_1261_from_BSU25200-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU8J2_172_from_BSU25200-MONOMER,1.4185300230482148e-10,1.4329010633748225e-10,1.4472863375021312e-10,1.4616560221734215e-10,1.4760437960436834e-10,1.4904083146011004e-10,1.504775954587774e-10,1.5191579406710962e-10,1.5335242250194233e-10,1.5478898203368932e-10
transcription_TU8J2_1247_from_BSU25200-MONOMER,1.037368849592206e-07,1.0375336143459425e-07,1.0377015373000649e-07,1.0378663602734269e-07,1.0380318408529135e-07,1.0381992206592523e-07,1.0383641315474226e-07,1.0385321955802015e-07,1.0386971647866307e-07,1.0388621636793856e-07
transcription_TU8J2_1476_from_BSU25200-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU8J2_351_from_BSU25200-MONOMER,3.3375915382529977e-10,3.320516189662912e-10,3.30346863054112e-10,3.2863948829145495e-10,3.2692987465271875e-10,3.252276723556564e-10,3.235205390998414e-10,3.218161711575522e-10,3.2010919799636936e-10,3.184023062458363e-10
transcription_TU8J2_1125_from_BSU25200-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU8J2_27_from_BSU25200-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU8J2_1212_from_BSU25200-MONOMER,4.3309291945855097e-10,4.330724871551101e-10,4.330562232848848e-10,4.3303579119841095e-10,4.33018664462175e-10,4.32999095447718e-10,4.329786637492947e-10,4.32962399904531e-10,4.329419684249928e-10,4.3292153711636306e-10
transcription_TU8J2_1566_from_BSU25200-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU8J2_567_from_BSU25200-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU8J2_321_from_BSU25200-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU8J2_552_from_BSU25200-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU8J2_883_from_BSU04730-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU8J2_240_from_BSU25200-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU8J2_307_from_BSU25200-MONOMER,3.1603681155834374e-13,3.159936189543334e-13,3.1595330741938764e-13,3.159101181627956e-13,3.1586693063761977e-13,3.1582662384290725e-13,3.157834396651232e-13,3.157431359946348e-13,3.1569995516422496e-13,3.1565677606520865e-13
transcription_TU8J2_1184_from_BSU25200-MONOMER,3.546322906021596e-11,3.58225052299727e-11,3.6182137244357493e-11,3.654137952264587e-11,3.690107403102051e-11,3.726018715587811e-11,3.7619378316922185e-11,3.797892813000038e-11,3.8338085400000375e-11,3.869722544418552e-11
transcription_TU8J2_970_from_BSU25200-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU8J2_523_from_BSU25200-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU8J2_622_from_BSU25200-MONOMER,8.4194321414173e-10,8.468981677376997e-10,8.518619822207292e-10,8.568164713475068e-10,8.617728887175114e-10,8.667338610981978e-10,8.716876497669806e-10,8.766503369931715e-10,8.816036611970828e-10,8.865567494117843e-10
transcription_TU8J2_117_from_BSU25200-MONOMER,3.950777310256524e-09,3.946331335372012e-09,3.941920111729532e-09,3.937474546830862e-09,3.9330277579928355e-09,3.9286185633559725e-09,3.924173617176772e-09,3.9197633849444935e-09,3.9153188487474985e-09,3.910874521284475e-09
transcription_TU8J2_728_from_BSU25200-MONOMER,1.9855377714148337e-06,1.985409400379854e-06,1.9852932848699304e-06,1.985164922117682e-06,1.9850370135492424e-06,1.984920459716456e-06,1.984792109572498e-06,1.984676013176718e-06,1.9845476713161847e-06,1.9844193337811466e-06
transcription_TU8J2_128_from_BSU25200-MONOMER,4.416967127554603e-10,4.4403002301745143e-10,4.4636749837874565e-10,4.4870058838552227e-10,4.510377503966771e-10,4.533707204895814e-10,4.557034783080531e-10,4.5804041933156823e-10,4.603729568973076e-10,4.6270538252972924e-10
transcription_TU8J2_1053_from_BSU25200-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU8J2_2966_from_BSU25200-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU8J2_381_from_BSU00980-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU8J2_608_from_BSU25200-MONOMER,1.037368849592206e-07,1.0375336143459425e-07,1.0377015373000649e-07,1.0378663602734269e-07,1.0380318408529135e-07,1.0381992206592523e-07,1.0383641315474226e-07,1.0385321955802015e-07,1.0386971647866307e-07,1.0388621636793856e-07
transcription_TU8J2_1262_from_BSU25200-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU8J2_941_from_BSU04730-MONOMER,6.391496785069764e-10,6.390623262177573e-10,6.389808005737234e-10,6.388934550542896e-10,6.388061130364545e-10,6.38724596979021e-10,6.386372617309175e-10,6.385557519918834e-10,6.384684235134759e-10,6.383810985366214e-10
transcription_TU8J2_2951_from_BSU25200-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU8J2_696_from_BSU25200-MONOMER,2.1175935385555928e-10,2.139239785909266e-10,2.1609067519808927e-10,2.1825509544895473e-10,2.204213114641415e-10,2.2258581013170556e-10,2.2474992196221102e-10,2.2691612264123568e-10,2.2908002998987412e-10,2.3124383340241334e-10
transcription_TU8J2_1248_from_BSU25200-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU8J2_182_from_BSU25200-MONOMER,5.5719923005109404e-12,5.568595359636526e-12,5.56522396887221e-12,5.561826582249446e-12,5.558432351383473e-12,5.555056926681305e-12,5.5516588671313935e-12,5.548286392073037e-12,5.5448878856711665e-12,5.54148915218961e-12
transcription_TU8J2_352_from_BSU25200-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU8J2_1232_from_BSU25200-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU8J2_912_from_BSU25200-MONOMER,1.5296557097625812e-09,1.5218298853752529e-09,1.5140167972145046e-09,1.5061917065670908e-09,1.4983563548991503e-09,1.4905549702439854e-09,1.4827309864500888e-09,1.4749196763997799e-09,1.4670964263379182e-09,1.459273549390388e-09
transcription_TU8J2_568_from_BSU25200-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU8J2_899_from_BSU25200-MONOMER,2.5995718870683566e-10,2.596713733805114e-10,2.5938789899141684e-10,2.591021104088606e-10,2.176042235210225e-10,2.585328999382545e-10,2.5824715171891464e-10,2.5796374196830007e-10,2.576780204922241e-10,2.5739231263564226e-10
transcription_TU8J2_1576_from_BSU25200-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU8J2_256_from_BSU25200-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU8J2_12_from_BSU25200-MONOMER,1.713449656125867e-10,1.7132154689092355e-10,1.7129968600370365e-10,1.7127626904004597e-10,1.7125285279730207e-10,1.7123099458840007e-10,1.7120758029203084e-10,1.7118572353605525e-10,1.711623109977818e-10,1.7113889936878362e-10
transcription_TU8J2_884_from_BSU25200-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU8J2_1433_from_BSU25200-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU8J2_1083_from_BSU25200-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU8J2_638_from_BSU25200-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU8J2_1185_from_BSU04730-MONOMER,1.331835907792894e-11,1.3316538863989669e-11,1.3314840063477342e-11,1.3313019990604293e-11,1.3311199990696236e-11,1.3309501389945854e-11,1.3307681531102902e-11,1.3305983062012934e-11,1.3304163344234346e-11,1.330234369941979e-11
transcription_TU8J2_752_from_BSU25200-MONOMER,1.3009829610637809e-09,1.2979404882470906e-09,1.2949099452168651e-09,1.2918677598747096e-09,1.3963473153228515e-09,1.2857955962712519e-09,1.28275384468942e-09,1.2797239974331862e-09,1.2766825333213466e-09,1.2736412154957065e-09
transcription_TU8J2_1303_from_BSU25200-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU8J2_1532_from_BSU25200-MONOMER,1.2297393467451936e-07,1.2296616848899696e-07,1.2295916272257576e-07,1.2295139703173926e-07,1.2294365936979531e-07,1.2293662652078532e-07,1.2292886158324627e-07,1.2292185695616978e-07,1.229140925133609e-07,1.2290632832915952e-07
transcription_TU8J2_408_from_BSU25200-MONOMER,5.3499743378249244e-11,5.349242091914802e-11,5.3485584786253646e-11,5.3478262877426494e-11,5.347094116002306e-11,5.3464105899766894e-11,5.345678482581089e-11,5.3449949986190857e-11,5.3442629462537094e-11,5.3435309223478014e-11
transcription_TU8J2_2968_from_BSU25200-MONOMER,2.8670763194632273e-09,2.863924052899951e-09,2.860797604609791e-09,2.857645633004406e-09,2.992896169388392e-09,2.8513677921445933e-09,2.8482162657064393e-09,2.8450905303161842e-09,2.841939298830361e-09,2.838788217554381e-09
transcription_TU8J2_942_from_BSU09520-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU8J2_826_from_BSU25200-MONOMER,2.374070949037295e-08,2.373925913777207e-08,2.3737953210548984e-08,2.3736502949627483e-08,2.3776270377969776e-08,2.3733746936745973e-08,2.373229681546181e-08,2.3730991099133457e-08,2.3729541069536214e-08,2.372809108789625e-08
transcription_TU8J2_720_from_BSU25200-MONOMER,1.2785581995049858e-09,1.2802849515918907e-09,1.282023785997955e-09,1.2837503738250894e-09,1.2854836934413254e-09,1.287215472512388e-09,1.2889418127199542e-09,1.290680247656427e-09,1.292406423607593e-09,1.2941325161986516e-09
transcription_TU8J2_595_from_BSU25200-MONOMER,2.448499707889694e-10,2.448165072573697e-10,2.447852758381396e-10,2.4475181489995703e-10,2.447183553031917e-10,2.4468712755646406e-10,2.4465367055309524e-10,2.4462244522686474e-10,2.445889908168789e-10,2.4455553774829264e-10
transcription_TU8J2_1141_from_BSU25200-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU8J2_811_from_MONOMER8J2-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU8J2_1258_from_BSU25200-MONOMER,9.839859198194928e-11,9.842235777938717e-11,9.844708751971603e-11,9.847085133977859e-11,9.849491633598086e-11,9.851934096030173e-11,9.854310181142211e-11,9.85678266408961e-11,9.859158551456125e-11,9.86153433966659e-11
transcription_TU8J2_1127_from_BSU25200-MONOMER,2.298788363770784e-09,2.3094326368850096e-09,2.3200999548877667e-09,2.330743228197914e-09,2.3413875878190276e-09,2.352051852312489e-09,2.362693617848659e-09,2.3733585092361503e-09,2.38399927497768e-09,2.3946395327484247e-09
transcription_TU8J2_1487_from_BSU25200-MONOMER,1.037368849592206e-07,1.0375336143459425e-07,1.0377015373000649e-07,1.0378663602734269e-07,1.0380318408529135e-07,1.0381992206592523e-07,1.0383641315474226e-07,1.0385321955802015e-07,1.0386971647866307e-07,1.0388621636793856e-07
transcription_TU8J2_169_from_BSU15320-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU8J2_362_from_BSU25200-MONOMER,1.660108361300884e-08,1.6599694148727976e-08,1.6598426128580972e-08,1.659703676516537e-08,1.659565240373035e-08,1.6594379575564682e-08,1.6592990365467723e-08,1.6591722579927905e-08,1.659033347069875e-08,1.6588944413922733e-08
transcription_TU8J2_691_from_BSU25200-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU8J2_467_from_BSU25200-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU00090,1.4807087761185011e-08,1.4805080667977797e-08,1.4803303362758125e-08,1.4801296383762066e-08,1.4799402432294147e-08,1.4797512296682736e-08,1.4795505497393584e-08,1.4793728406815926e-08,1.4791721721834354e-08,1.478971510233934e-08
