,base,ASPt2r_FWD_CPLX_dummy_s,4FE4St_s,PYDX5Pt_s,TYRt2r_REV_CPLX_dummy_s,HISt2r_FWD_BSU39390-MONOMER_s,METt3_FWD_CPLX_dummy_s,CBL1t_s,ASNt2r_FWD_CPLX_dummy_s,PSER_Lt6_FWD_CPLX_dummy_s,PHEt2r_REV_CPLX_dummy_s,THMPPt_s,CITt13_FWD_BSU07610-MONOMER_s
transcription_TU_BSU01020,7.349152357209342e-08,7.391771751423698e-08,7.367447619885167e-08,7.352005689917102e-08,7.352152386672009e-08,7.351350877736689e-08,7.351653461938857e-08,7.351653461938857e-08,7.353331756477978e-08,7.351653461938857e-08,7.354485956897909e-08,0.0,0.0
translation_BSU01030,2.6466731423871383e-06,2.6583853254654267e-06,2.649406682774349e-06,2.645407236108044e-06,2.6456038503228677e-06,2.6452435283744123e-06,2.6454674619411188e-06,2.6454674619411188e-06,2.645898768396844e-06,2.6454674619411188e-06,2.646342851723205e-06,0.0,0.0
transcription_TU_BSU01030,7.349152357209342e-08,7.391771751423698e-08,7.367447619885167e-08,7.352005689917102e-08,7.352152386672009e-08,7.351350877736689e-08,7.351653461938857e-08,7.351653461938857e-08,7.353331756477978e-08,7.351653461938857e-08,7.354485956897909e-08,0.0,0.0
translation_BSU01040,2.6466731423871383e-06,2.6583853254654267e-06,2.649406682774349e-06,2.645407236108044e-06,2.6456038503228677e-06,2.6452435283744123e-06,2.6454674619411188e-06,2.6454674619411188e-06,2.645898768396844e-06,2.6454674619411188e-06,2.646342851723205e-06,0.0,0.0
translation_BSU01050,2.6466731423871383e-06,2.6583853254654267e-06,2.649406682774349e-06,2.645407236108044e-06,2.6456038503228677e-06,2.6452435283744123e-06,2.6454674619411188e-06,2.6454674619411188e-06,2.645898768396844e-06,2.6454674619411188e-06,2.646342851723205e-06,0.0,0.0
translation_BSU01070,5.015447038365565e-08,5.0486848710805127e-08,5.04027077271197e-08,5.0190635462924624e-08,5.0190096712856336e-08,5.018702627405568e-08,5.018850423849471e-08,5.018850423849471e-08,5.020595444905627e-08,5.018850423849471e-08,5.0209843726651107e-08,0.0,0.0
translation_BSU01080,5.015447038365565e-08,5.0486848710805127e-08,5.04027077271197e-08,5.0190635462924624e-08,5.0190096712856336e-08,5.018702627405568e-08,5.018850423849471e-08,5.018850423849471e-08,5.020595444905627e-08,5.018850423849471e-08,5.0209843726651107e-08,0.0,0.0
transcription_TU_BSU01080,1.3926647697500746e-09,1.4038117745537667e-09,1.4015942191671556e-09,1.3948772516660119e-09,1.3947864465410895e-09,1.3947390313719073e-09,1.3947194446448831e-09,1.3947194446448831e-09,1.3952954044353705e-09,1.3947194446448831e-09,1.3953883199421423e-09,0.0,0.0
translation_BSU01100,2.6466731423871383e-06,2.6583853254654267e-06,2.649406682774349e-06,2.645407236108044e-06,2.6456038503228677e-06,2.6452435283744123e-06,2.6454674619411188e-06,2.6454674619411188e-06,2.645898768396844e-06,2.6454674619411188e-06,2.646342851723205e-06,0.0,0.0
transcription_TU_BSU01100,7.349152357209342e-08,7.391771751423698e-08,7.367447619885167e-08,7.352005689917102e-08,7.352152386672009e-08,7.351350877736689e-08,7.351653461938857e-08,7.351653461938857e-08,7.353331756477978e-08,7.351653461938857e-08,7.354485956897909e-08,0.0,0.0
translation_BSU01110,2.6466731423871383e-06,2.6583853254654267e-06,2.649406682774349e-06,2.645407236108044e-06,2.6456038503228677e-06,2.6452435283744123e-06,2.6454674619411188e-06,2.6454674619411188e-06,2.645898768396844e-06,2.6454674619411188e-06,2.646342851723205e-06,0.0,0.0
transcription_TU_BSU01110,7.349152357209342e-08,7.391771751423698e-08,7.367447619885167e-08,7.352005689917102e-08,7.352152386672009e-08,7.351350877736689e-08,7.351653461938857e-08,7.351653461938857e-08,7.353331756477978e-08,7.351653461938857e-08,7.354485956897909e-08,0.0,0.0
translation_BSU01120,1.7098454345601454e-07,1.715037565413538e-07,1.7090983382240823e-07,1.7075307951850118e-07,1.7077516593464644e-07,1.7074719095505163e-07,1.707691749737024e-07,1.707691749737024e-07,1.707856771271868e-07,1.707691749737024e-07,1.7081628099255167e-07,0.0,0.0
transcription_TU_BSU01120,4.7478150605811616e-09,4.768746692669454e-09,4.7526461550679e-09,4.745498519304783e-09,4.745854310944894e-09,4.745205870968968e-09,4.745610424052171e-09,4.745610424052171e-09,4.746378652770061e-09,4.745610424052171e-09,4.747177558460396e-09,0.0,0.0
translation_BSU01130,1.7098454214643217e-07,1.7150375522968734e-07,1.7090983251669514e-07,1.707530782123911e-07,1.7077516462828235e-07,1.7074718964889398e-07,1.7076917366734582e-07,1.7076917366734582e-07,1.707856758206205e-07,1.7076917366734582e-07,1.7081627968589302e-07,0.0,0.0
transcription_TU_BSU01130,4.74781502421732e-09,4.76874665619792e-09,4.752646118758742e-09,4.745498483005915e-09,4.745854274640941e-09,4.745205834669764e-09,4.74561038774902e-09,4.74561038774902e-09,4.746378616458711e-09,4.74561038774902e-09,4.747177522146875e-09,0.0,0.0
translation_BSU01150,2.6466731423871383e-06,2.6583853254654267e-06,2.649406682774349e-06,2.645407236108044e-06,2.6456038503228677e-06,2.6452435283744123e-06,2.6454674619411188e-06,2.6454674619411188e-06,2.645898768396844e-06,2.6454674619411188e-06,2.646342851723205e-06,0.0,0.0
transcription_TU_BSU01150,7.349152357209342e-08,7.391771751423698e-08,7.367447619885167e-08,7.352005689917102e-08,7.352152386672009e-08,7.351350877736689e-08,7.351653461938857e-08,7.351653461938857e-08,7.353331756477978e-08,7.351653461938857e-08,7.354485956897909e-08,0.0,0.0
translation_BSU01160,2.6466731423871383e-06,2.6583853254654267e-06,2.649406682774349e-06,2.645407236108044e-06,2.6456038503228677e-06,2.6452435283744123e-06,2.6454674619411188e-06,2.6454674619411188e-06,2.645898768396844e-06,2.6454674619411188e-06,2.646342851723205e-06,0.0,0.0
transcription_TU_BSU01160,7.349152357209342e-08,7.391771751423698e-08,7.367447619885167e-08,7.352005689917102e-08,7.352152386672009e-08,7.351350877736689e-08,7.351653461938857e-08,7.351653461938857e-08,7.353331756477978e-08,7.351653461938857e-08,7.354485956897909e-08,0.0,0.0
translation_BSU01170,2.6466731423871383e-06,2.6583853254654267e-06,2.649406682774349e-06,2.645407236108044e-06,2.6456038503228677e-06,2.6452435283744123e-06,2.6454674619411188e-06,2.6454674619411188e-06,2.645898768396844e-06,2.6454674619411188e-06,2.646342851723205e-06,0.0,0.0
transcription_TU_BSU01170,7.349152357209342e-08,7.391771751423698e-08,7.367447619885167e-08,7.352005689917102e-08,7.352152386672009e-08,7.351350877736689e-08,7.351653461938857e-08,7.351653461938857e-08,7.353331756477978e-08,7.351653461938857e-08,7.354485956897909e-08,0.0,0.0
translation_BSU01180,2.6466731423871383e-06,2.6583853254654267e-06,2.649406682774349e-06,2.645407236108044e-06,2.6456038503228677e-06,2.6452435283744123e-06,2.6454674619411188e-06,2.6454674619411188e-06,2.645898768396844e-06,2.6454674619411188e-06,2.646342851723205e-06,0.0,0.0
transcription_TU_BSU01180,7.349152357209342e-08,7.391771751423698e-08,7.367447619885167e-08,7.352005689917102e-08,7.352152386672009e-08,7.351350877736689e-08,7.351653461938857e-08,7.351653461938857e-08,7.353331756477978e-08,7.351653461938857e-08,7.354485956897909e-08,0.0,0.0
translation_BSU01190,2.6466731423871383e-06,2.6583853254654267e-06,2.649406682774349e-06,2.645407236108044e-06,2.6456038503228677e-06,2.6452435283744123e-06,2.6454674619411188e-06,2.6454674619411188e-06,2.645898768396844e-06,2.6454674619411188e-06,2.646342851723205e-06,0.0,0.0
transcription_TU_BSU01190,7.349152357209342e-08,7.391771751423698e-08,7.367447619885167e-08,7.352005689917102e-08,7.352152386672009e-08,7.351350877736689e-08,7.351653461938857e-08,7.351653461938857e-08,7.353331756477978e-08,7.351653461938857e-08,7.354485956897909e-08,0.0,0.0
translation_BSU01200,2.6466731423871383e-06,2.6583853254654267e-06,2.649406682774349e-06,2.645407236108044e-06,2.6456038503228677e-06,2.6452435283744123e-06,2.6454674619411188e-06,2.6454674619411188e-06,2.645898768396844e-06,2.6454674619411188e-06,2.646342851723205e-06,0.0,0.0
transcription_TU_BSU01200,7.349152357209342e-08,7.391771751423698e-08,7.367447619885167e-08,7.352005689917102e-08,7.352152386672009e-08,7.351350877736689e-08,7.351653461938857e-08,7.351653461938857e-08,7.353331756477978e-08,7.351653461938857e-08,7.354485956897909e-08,0.0,0.0
translation_BSU01210,2.6466731423871383e-06,2.6583853254654267e-06,2.649406682774349e-06,2.645407236108044e-06,2.6456038503228677e-06,2.6452435283744123e-06,2.6454674619411188e-06,2.6454674619411188e-06,2.645898768396844e-06,2.6454674619411188e-06,2.646342851723205e-06,0.0,0.0
transcription_TU_BSU01210,7.349152357209342e-08,7.391771751423698e-08,7.367447619885167e-08,7.352005689917102e-08,7.352152386672009e-08,7.351350877736689e-08,7.351653461938857e-08,7.351653461938857e-08,7.353331756477978e-08,7.351653461938857e-08,7.354485956897909e-08,0.0,0.0
translation_BSU01220,2.6466731423871383e-06,2.6583853254654267e-06,2.649406682774349e-06,2.645407236108044e-06,2.6456038503228677e-06,2.6452435283744123e-06,2.6454674619411188e-06,2.6454674619411188e-06,2.645898768396844e-06,2.6454674619411188e-06,2.646342851723205e-06,0.0,0.0
transcription_TU_BSU01220,7.349152357209342e-08,7.391771751423698e-08,7.367447619885167e-08,7.352005689917102e-08,7.352152386672009e-08,7.351350877736689e-08,7.351653461938857e-08,7.351653461938857e-08,7.353331756477978e-08,7.351653461938857e-08,7.354485956897909e-08,0.0,0.0
translation_BSU01230,2.6466731423871383e-06,2.6583853254654267e-06,2.649406682774349e-06,2.645407236108044e-06,2.6456038503228677e-06,2.6452435283744123e-06,2.6454674619411188e-06,2.6454674619411188e-06,2.645898768396844e-06,2.6454674619411188e-06,2.646342851723205e-06,0.0,0.0
transcription_TU_BSU01230,7.349152357209342e-08,7.391771751423698e-08,7.367447619885167e-08,7.352005689917102e-08,7.352152386672009e-08,7.351350877736689e-08,7.351653461938857e-08,7.351653461938857e-08,7.353331756477978e-08,7.351653461938857e-08,7.354485956897909e-08,0.0,0.0
translation_BSU01240,2.6466731423871383e-06,2.6583853254654267e-06,2.649406682774349e-06,2.645407236108044e-06,2.6456038503228677e-06,2.6452435283744123e-06,2.6454674619411188e-06,2.6454674619411188e-06,2.645898768396844e-06,2.6454674619411188e-06,2.646342851723205e-06,0.0,0.0
transcription_TU_BSU01240,7.349152357209342e-08,7.391771751423698e-08,7.367447619885167e-08,7.352005689917102e-08,7.352152386672009e-08,7.351350877736689e-08,7.351653461938857e-08,7.351653461938857e-08,7.353331756477978e-08,7.351653461938857e-08,7.354485956897909e-08,0.0,0.0
translation_BSU01250,2.6466731423871383e-06,2.6583853254654267e-06,2.649406682774349e-06,2.645407236108044e-06,2.6456038503228677e-06,2.6452435283744123e-06,2.6454674619411188e-06,2.6454674619411188e-06,2.645898768396844e-06,2.6454674619411188e-06,2.646342851723205e-06,0.0,0.0
transcription_TU_BSU01250,7.349152357209342e-08,7.391771751423698e-08,7.367447619885167e-08,7.352005689917102e-08,7.352152386672009e-08,7.351350877736689e-08,7.351653461938857e-08,7.351653461938857e-08,7.353331756477978e-08,7.351653461938857e-08,7.354485956897909e-08,0.0,0.0
translation_BSU01260,2.6466731423871383e-06,2.6583853254654267e-06,2.649406682774349e-06,2.645407236108044e-06,2.6456038503228677e-06,2.6452435283744123e-06,2.6454674619411188e-06,2.6454674619411188e-06,2.645898768396844e-06,2.6454674619411188e-06,2.646342851723205e-06,0.0,0.0
transcription_TU_BSU01260,7.349152357209342e-08,7.391771751423698e-08,7.367447619885167e-08,7.352005689917102e-08,7.352152386672009e-08,7.351350877736689e-08,7.351653461938857e-08,7.351653461938857e-08,7.353331756477978e-08,7.351653461938857e-08,7.354485956897909e-08,0.0,0.0
translation_BSU01270,2.6466731423871383e-06,2.6583853254654267e-06,2.649406682774349e-06,2.645407236108044e-06,2.6456038503228677e-06,2.6452435283744123e-06,2.6454674619411188e-06,2.6454674619411188e-06,2.645898768396844e-06,2.6454674619411188e-06,2.646342851723205e-06,0.0,0.0
transcription_TU_BSU01270,7.349152357209342e-08,7.391771751423698e-08,7.367447619885167e-08,7.352005689917102e-08,7.352152386672009e-08,7.351350877736689e-08,7.351653461938857e-08,7.351653461938857e-08,7.353331756477978e-08,7.351653461938857e-08,7.354485956897909e-08,0.0,0.0
translation_BSU01280,2.6466731423871383e-06,2.6583853254654267e-06,2.649406682774349e-06,2.645407236108044e-06,2.6456038503228677e-06,2.6452435283744123e-06,2.6454674619411188e-06,2.6454674619411188e-06,2.645898768396844e-06,2.6454674619411188e-06,2.646342851723205e-06,0.0,0.0
transcription_TU_BSU01280,7.349152357209342e-08,7.391771751423698e-08,7.367447619885167e-08,7.352005689917102e-08,7.352152386672009e-08,7.351350877736689e-08,7.351653461938857e-08,7.351653461938857e-08,7.353331756477978e-08,7.351653461938857e-08,7.354485956897909e-08,0.0,0.0
translation_BSU01290,2.6466731423871383e-06,2.6583853254654267e-06,2.649406682774349e-06,2.645407236108044e-06,2.6456038503228677e-06,2.6452435283744123e-06,2.6454674619411188e-06,2.6454674619411188e-06,2.645898768396844e-06,2.6454674619411188e-06,2.646342851723205e-06,0.0,0.0
transcription_TU_BSU01290,7.349152357209342e-08,7.391771751423698e-08,7.367447619885167e-08,7.352005689917102e-08,7.352152386672009e-08,7.351350877736689e-08,7.351653461938857e-08,7.351653461938857e-08,7.353331756477978e-08,7.351653461938857e-08,7.354485956897909e-08,0.0,0.0
translation_BSU01300,2.6466731423871383e-06,2.6583853254654267e-06,2.649406682774349e-06,2.645407236108044e-06,2.6456038503228677e-06,2.6452435283744123e-06,2.6454674619411188e-06,2.6454674619411188e-06,2.645898768396844e-06,2.6454674619411188e-06,2.646342851723205e-06,0.0,0.0
transcription_TU_BSU01300,7.349152357209342e-08,7.391771751423698e-08,7.367447619885167e-08,7.352005689917102e-08,7.352152386672009e-08,7.351350877736689e-08,7.351653461938857e-08,7.351653461938857e-08,7.353331756477978e-08,7.351653461938857e-08,7.354485956897909e-08,0.0,0.0
translation_BSU01310,2.6466731423871383e-06,2.6583853254654267e-06,2.649406682774349e-06,2.645407236108044e-06,2.6456038503228677e-06,2.6452435283744123e-06,2.6454674619411188e-06,2.6454674619411188e-06,2.645898768396844e-06,2.6454674619411188e-06,2.646342851723205e-06,0.0,0.0
transcription_TU_BSU01310,7.349152357209342e-08,7.391771751423698e-08,7.367447619885167e-08,7.352005689917102e-08,7.352152386672009e-08,7.351350877736689e-08,7.351653461938857e-08,7.351653461938857e-08,7.353331756477978e-08,7.351653461938857e-08,7.354485956897909e-08,0.0,0.0
translation_BSU01320,2.6466731423871383e-06,2.6583853254654267e-06,2.649406682774349e-06,2.645407236108044e-06,2.6456038503228677e-06,2.6452435283744123e-06,2.6454674619411188e-06,2.6454674619411188e-06,2.645898768396844e-06,2.6454674619411188e-06,2.646342851723205e-06,0.0,0.0
transcription_TU_BSU01320,7.349152357209342e-08,7.391771751423698e-08,7.367447619885167e-08,7.352005689917102e-08,7.352152386672009e-08,7.351350877736689e-08,7.351653461938857e-08,7.351653461938857e-08,7.353331756477978e-08,7.351653461938857e-08,7.354485956897909e-08,0.0,0.0
translation_BSU01330,2.6466731423871383e-06,2.6583853254654267e-06,2.649406682774349e-06,2.645407236108044e-06,2.6456038503228677e-06,2.6452435283744123e-06,2.6454674619411188e-06,2.6454674619411188e-06,2.645898768396844e-06,2.6454674619411188e-06,2.646342851723205e-06,0.0,0.0
transcription_TU_BSU01330,7.349152357209342e-08,7.391771751423698e-08,7.367447619885167e-08,7.352005689917102e-08,7.352152386672009e-08,7.351350877736689e-08,7.351653461938857e-08,7.351653461938857e-08,7.353331756477978e-08,7.351653461938857e-08,7.354485956897909e-08,0.0,0.0
translation_BSU01340,2.6466731423871383e-06,2.6583853254654267e-06,2.649406682774349e-06,2.645407236108044e-06,2.6456038503228677e-06,2.6452435283744123e-06,2.6454674619411188e-06,2.6454674619411188e-06,2.645898768396844e-06,2.6454674619411188e-06,2.646342851723205e-06,0.0,0.0
transcription_TU_BSU01340,7.349152357209342e-08,7.391771751423698e-08,7.367447619885167e-08,7.352005689917102e-08,7.352152386672009e-08,7.351350877736689e-08,7.351653461938857e-08,7.351653461938857e-08,7.353331756477978e-08,7.351653461938857e-08,7.354485956897909e-08,0.0,0.0
translation_BSU01350,2.6466731423871383e-06,2.6583853254654267e-06,2.649406682774349e-06,2.645407236108044e-06,2.6456038503228677e-06,2.6452435283744123e-06,2.6454674619411188e-06,2.6454674619411188e-06,2.645898768396844e-06,2.6454674619411188e-06,2.646342851723205e-06,0.0,0.0
transcription_TU_BSU01350,7.349152357209342e-08,7.391771751423698e-08,7.367447619885167e-08,7.352005689917102e-08,7.352152386672009e-08,7.351350877736689e-08,7.351653461938857e-08,7.351653461938857e-08,7.353331756477978e-08,7.351653461938857e-08,7.354485956897909e-08,0.0,0.0
translation_BSU01360,2.288649763504839e-07,2.285251049283664e-07,2.287941301823384e-07,2.2875840026977167e-07,2.2878426917321754e-07,2.2873185714946695e-07,2.2877309562823468e-07,2.2877309562823468e-07,2.2869849764465936e-07,2.2877309562823468e-07,2.2877287067402042e-07,0.0,0.0
transcription_TU_BSU01360,6.355010573431784e-09,6.354253459493843e-09,6.362287756028627e-09,6.35755825206719e-09,6.3579315188462765e-09,6.356647774715115e-09,6.3575173184693455e-09,6.3575173184693455e-09,6.355858906908299e-09,6.3575173184693455e-09,6.357856706268107e-09,0.0,0.0
translation_BSU01370,4.723673322098196e-07,5.163058191854619e-07,4.611293446921818e-07,4.650253487201637e-07,4.6465482205676083e-07,4.64949145027381e-07,4.646191044461979e-07,4.646191044461979e-07,4.692218357685336e-07,4.646191044461979e-07,4.6791674301159563e-07,0.0,0.0
transcription_TU_BSU01370,1.311646473220113e-08,1.4356138415271293e-08,1.2823045684530625e-08,1.2923790950145773e-08,1.2912791378597214e-08,1.2921321869750247e-08,1.2911588204447351e-08,1.2911588204447351e-08,1.3040347072235963e-08,1.2911588204447351e-08,1.3003935273297423e-08,0.0,0.0
translation_BSU01380,3.9654431204649006e-11,3.9907529267730204e-11,3.9709594886193955e-11,3.962384229601093e-11,3.9627887332414496e-11,3.962476739867196e-11,3.9629207210764416e-11,3.9629207210764416e-11,3.965178157556508e-11,3.9629207210764416e-11,3.9645993890446876e-11,0.0,0.0
transcription_TU_BSU01380,1.1011048243705416e-12,1.1096485700720479e-12,1.1042410447328488e-12,1.1012093338235367e-12,1.1012618778666523e-12,1.1012051082319434e-12,1.1012805962509813e-12,1.1012805962509813e-12,1.1019798192702425e-12,1.1012805962509813e-12,1.1018069904460334e-12,0.0,0.0
translation_BSU01390,4.808711580387488e-10,4.824415517479265e-10,4.803886104899183e-10,4.801467879496755e-10,4.802051992076198e-10,4.801473335918914e-10,4.801927439892054e-10,4.801927439892054e-10,4.803072705129413e-10,4.801927439892054e-10,4.803326086408331e-10,0.0,0.0
transcription_TU_BSU01390,1.3352594802949517e-11,1.3414525726435048e-11,1.3358605713441276e-11,1.334403969573651e-11,1.3344937493252229e-11,1.3343692119011877e-11,1.3344373724241005e-11,1.3344373724241005e-11,1.3348427185935126e-11,1.3344373724241005e-11,1.3348986215406073e-11,0.0,0.0
translation_BSU01400,2.6466731423871383e-06,2.6583853254654267e-06,2.649406682774349e-06,2.645407236108044e-06,2.6456038503228677e-06,2.6452435283744123e-06,2.6454674619411188e-06,2.6454674619411188e-06,2.645898768396844e-06,2.6454674619411188e-06,2.646342851723205e-06,0.0,0.0
transcription_TU_BSU01400,7.349152357209342e-08,7.391771751423698e-08,7.367447619885167e-08,7.352005689917102e-08,7.352152386672009e-08,7.351350877736689e-08,7.351653461938857e-08,7.351653461938857e-08,7.353331756477978e-08,7.351653461938857e-08,7.354485956897909e-08,0.0,0.0
translation_BSU01410,2.6466731423871383e-06,2.6583853254654267e-06,2.649406682774349e-06,2.645407236108044e-06,2.6456038503228677e-06,2.6452435283744123e-06,2.6454674619411188e-06,2.6454674619411188e-06,2.645898768396844e-06,2.6454674619411188e-06,2.646342851723205e-06,0.0,0.0
transcription_TU_BSU01410,7.349152357209342e-08,7.391771751423698e-08,7.367447619885167e-08,7.352005689917102e-08,7.352152386672009e-08,7.351350877736689e-08,7.351653461938857e-08,7.351653461938857e-08,7.353331756477978e-08,7.351653461938857e-08,7.354485956897909e-08,0.0,0.0
translation_BSU01420,2.6466731423871383e-06,2.6583853254654267e-06,2.649406682774349e-06,2.645407236108044e-06,2.6456038503228677e-06,2.6452435283744123e-06,2.6454674619411188e-06,2.6454674619411188e-06,2.645898768396844e-06,2.6454674619411188e-06,2.646342851723205e-06,0.0,0.0
transcription_TU_BSU01420,7.349152357209342e-08,7.391771751423698e-08,7.367447619885167e-08,7.352005689917102e-08,7.352152386672009e-08,7.351350877736689e-08,7.351653461938857e-08,7.351653461938857e-08,7.353331756477978e-08,7.351653461938857e-08,7.354485956897909e-08,0.0,0.0
translation_BSU01430,5.015447038365565e-08,5.0486848710805127e-08,5.04027077271197e-08,5.0190635462924624e-08,5.0190096712856336e-08,5.018702627405568e-08,5.018850423849471e-08,5.018850423849471e-08,5.020595444905627e-08,5.018850423849471e-08,5.0209843726651107e-08,0.0,0.0
transcription_TU_BSU01430,1.3926647697500746e-09,1.4038117745537667e-09,1.4015942191671556e-09,1.3948772516660119e-09,1.3947864465410895e-09,1.3947390313719073e-09,1.3947194446448831e-09,1.3947194446448831e-09,1.3952954044353705e-09,1.3947194446448831e-09,1.3953883199421423e-09,0.0,0.0
translation_BSU01440,2.6466731423871383e-06,2.6583853254654267e-06,2.649406682774349e-06,2.645407236108044e-06,2.6456038503228677e-06,2.6452435283744123e-06,2.6454674619411188e-06,2.6454674619411188e-06,2.645898768396844e-06,2.6454674619411188e-06,2.646342851723205e-06,0.0,0.0
transcription_TU_BSU01440,7.349152357209342e-08,7.391771751423698e-08,7.367447619885167e-08,7.352005689917102e-08,7.352152386672009e-08,7.351350877736689e-08,7.351653461938857e-08,7.351653461938857e-08,7.353331756477978e-08,7.351653461938857e-08,7.354485956897909e-08,0.0,0.0
translation_BSU01490,2.6466731423871383e-06,2.6583853254654267e-06,2.649406682774349e-06,2.645407236108044e-06,2.6456038503228677e-06,2.6452435283744123e-06,2.6454674619411188e-06,2.6454674619411188e-06,2.645898768396844e-06,2.6454674619411188e-06,2.646342851723205e-06,0.0,0.0
transcription_TU_BSU01490,7.349152357209342e-08,7.391771751423698e-08,7.367447619885167e-08,7.352005689917102e-08,7.352152386672009e-08,7.351350877736689e-08,7.351653461938857e-08,7.351653461938857e-08,7.353331756477978e-08,7.351653461938857e-08,7.354485956897909e-08,0.0,0.0
translation_BSU01500,2.6466731423871383e-06,2.6583853254654267e-06,2.649406682774349e-06,2.645407236108044e-06,2.6456038503228677e-06,2.6452435283744123e-06,2.6454674619411188e-06,2.6454674619411188e-06,2.645898768396844e-06,2.6454674619411188e-06,2.646342851723205e-06,0.0,0.0
transcription_TU_BSU01500,7.349152357209342e-08,7.391771751423698e-08,7.367447619885167e-08,7.352005689917102e-08,7.352152386672009e-08,7.351350877736689e-08,7.351653461938857e-08,7.351653461938857e-08,7.353331756477978e-08,7.351653461938857e-08,7.354485956897909e-08,0.0,0.0
translation_BSU01530,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU_BSU_rRNA_23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU_BSU_rRNA_14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU_BSU_rRNA_15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU_BSU_tRNA_23,9.948581529375435e-07,9.990578448238707e-07,9.959822691488711e-07,9.944155892935235e-07,9.94486049153672e-07,9.9432536525593e-07,9.944295228994703e-07,9.944295228994703e-07,9.945541252534353e-07,9.944295228994703e-07,9.947674559715652e-07,0.0,0.0
transcription_TU_BSU_tRNA_24,1.244170759126463e-06,1.2491085729562286e-06,1.2454741388507046e-06,1.2436452584943889e-06,1.2437307700043113e-06,1.2435503790806582e-06,1.2436664939700558e-06,1.2436664939700558e-06,1.2438064059255314e-06,1.2436664939700558e-06,1.2440417896275895e-06,0.0,0.0
transcription_TU_BSU_tRNA_25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU_BSU_tRNA_26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU_BSU_tRNA_27,9.169946908599193e-07,9.204805107007356e-07,9.182347430314344e-07,9.168169745087579e-07,9.168789608086424e-07,9.167550867743098e-07,9.168352986821724e-07,9.168352986821724e-07,9.169296913768676e-07,9.168352986821724e-07,9.170935698876744e-07,0.0,0.0
transcription_TU_BSU_tRNA_28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU_BSU_rRNA_16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU_BSU_rRNA_29,2.6466731423871383e-06,2.6583853254654267e-06,2.649406682774349e-06,2.645407236108044e-06,2.6456038503228677e-06,2.6452435283744123e-06,2.6454674619411188e-06,2.6454674619411188e-06,2.645898768396844e-06,2.6454674619411188e-06,2.646342851723205e-06,0.0,0.0
transcription_TU_BSU_rRNA_24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU_BSU_rRNA_25,2.6466731423871383e-06,2.6583853254654267e-06,2.649406682774349e-06,2.645407236108044e-06,2.6456038503228677e-06,2.6452435283744123e-06,2.6454674619411188e-06,2.6454674619411188e-06,2.645898768396844e-06,2.6454674619411188e-06,2.646342851723205e-06,0.0,0.0
transcription_TU_BSU_rRNA_27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU_BSU_rRNA_28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU01580,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU_BSU01580,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU01610,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU01620,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU01630,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU01680,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU_BSU01680,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU01730,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU01770,4.036595946861767e-08,4.0223597954623354e-08,4.0214549666839e-08,4.0275645361442364e-08,4.0281304715957735e-08,4.027847498900184e-08,4.0283002599841554e-08,4.0283002599841554e-08,4.027621127900254e-08,4.0283002599841554e-08,4.027734312605048e-08,0.0,0.0
