,base,PYDX5Pt_s,METt3_FWD_CPLX_dummy_s,4FE4St_s,PSER_Lt6_FWD_CPLX_dummy_s,HISt2r_FWD_BSU39390-MONOMER_s,CBL1t_s,ASPt2r_FWD_CPLX_dummy_s,TYRt2r_REV_CPLX_dummy_s,ASNt2r_FWD_CPLX_dummy_s,PHEt2r_REV_CPLX_dummy_s,THMPPt_s,CITt13_FWD_BSU07610-MONOMER_s
transcription_TU_BSU14000,8.341228752715971e-10,8.336118593029851e-10,8.336273357387582e-10,8.348354815861899e-10,8.337201679170343e-10,8.33549021905817e-10,8.336273357387582e-10,1.8061934456516234e-09,8.336273357387582e-10,8.337628203615097e-10,8.339199831182916e-10,0.0,0.0
translation_BSU14180,4.5598852520420215e-08,4.5533422938192814e-08,4.554020925363458e-08,4.5575712610663246e-08,4.553983410814441e-08,4.5533950964626875e-08,4.554020925363458e-08,9.864636573151332e-08,4.554020925363458e-08,4.554463973264354e-08,4.55534724400541e-08,0.0,0.0
transcription_TU_BSU14180,1.2661666041022198e-09,1.2653909014176378e-09,1.2654143940548828e-09,1.2672483132174578e-09,1.2655553097489657e-09,1.2652955166534242e-09,1.2654143940548828e-09,2.741732530339438e-09,1.2654143940548828e-09,1.265620054527438e-09,1.2658586215778632e-09,0.0,0.0
translation_BSU14190,1.0936632153093646e-08,1.0920939230285308e-08,1.0922566890446893e-08,1.0931082173936727e-08,1.0922476913879432e-08,1.0921065874500179e-08,1.0922566890446893e-08,2.3659784306238097e-08,1.0922566890446893e-08,1.0923629516291726e-08,1.0925747992229732e-08,0.0,0.0
transcription_TU_BSU14190,3.036830452563791e-10,3.0349699726498196e-10,3.0350263184387266e-10,3.039424871948513e-10,3.0353642969240605e-10,3.0347411975773006e-10,3.0350263184387266e-10,6.575893578257255e-10,3.0350263184387266e-10,3.0355195836882764e-10,3.036091773541778e-10,0.0,0.0
translation_BSU14390,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU14400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU14520,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU_BSU14520,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU14530,1.348800091832732e-11,1.3478371244409737e-11,1.3478312956870593e-11,1.3492654505476155e-11,1.3480335446751888e-11,1.347759708323143e-11,1.3478312956870593e-11,1.347825854721932e-11,1.3478312956870593e-11,1.3482242421035746e-11,1.348297328553371e-11,0.0,0.0
translation_BSU14540,5.015447038365565e-08,5.017638270561439e-08,5.016416001061121e-08,5.0380179657144624e-08,5.0190096712856336e-08,5.016259019967537e-08,5.016416001061121e-08,5.01852832463239e-08,5.016416001061121e-08,5.018053262139001e-08,5.0186446089002325e-08,0.0,0.0
translation_BSU14580,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU14590,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU14600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU14610,7.58438033107407e-07,7.594973731382338e-07,7.594169156360332e-07,7.983831088435244e-07,7.594270221338845e-07,7.594948165145793e-07,7.594169156360332e-07,7.724121855263039e-07,7.594169156360332e-07,7.593516490590879e-07,7.667929097756545e-07,0.0,0.0
translation_BSU14630,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU14670,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU_BSU14670,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU14730,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU14830,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU_BSU14830,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU14860,6.256125645753589e-08,6.244669343261902e-08,6.246268741526116e-08,6.241935571684142e-08,6.245103205745818e-08,6.245506379880868e-08,6.246268741526116e-08,6.242869192085252e-08,6.246268741526116e-08,6.245909131602981e-08,6.246404996866078e-08,0.0,0.0
translation_BSU14870,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU14880,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU14890,2.5270789568392205e-05,2.5286336175988114e-05,2.5285963927105357e-05,2.526951653981226e-05,2.5284789277926793e-05,2.5287312034177543e-05,2.5285963927105357e-05,2.5289121252191713e-05,2.5285963927105357e-05,2.528357141867003e-05,2.528116251419158e-05,0.0,0.0
translation_BSU14900,2.5270789568392205e-05,2.5286336175988114e-05,2.5285963927105357e-05,2.526951653981226e-05,2.5284789277926793e-05,2.5287312034177543e-05,2.5285963927105357e-05,2.5289121252191713e-05,2.5285963927105357e-05,2.528357141867003e-05,2.528116251419158e-05,0.0,0.0
translation_BSU14910,2.5270789568392205e-05,2.5286336175988114e-05,2.5285963927105357e-05,2.526951653981226e-05,2.5284789277926793e-05,2.5287312034177543e-05,2.5285963927105357e-05,2.5289121252191713e-05,2.5285963927105357e-05,2.528357141867003e-05,2.528116251419158e-05,0.0,0.0
translation_BSU14920,2.5270789568392205e-05,2.5286336175988114e-05,2.5285963927105357e-05,2.526951653981226e-05,2.5284789277926793e-05,2.5287312034177543e-05,2.5285963927105357e-05,2.5289121252191713e-05,2.5285963927105357e-05,2.528357141867003e-05,2.528116251419158e-05,0.0,0.0
translation_BSU15020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU_BSU15020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU15080,2.6466731423871383e-06,2.6453067404834964e-06,2.6453094076174627e-06,2.649238846378347e-06,2.6456038503228677e-06,2.64508060814517e-06,2.6453094076174627e-06,2.6450872777111458e-06,2.6453094076174627e-06,2.64571293714264e-06,2.6461845366691124e-06,0.0,0.0
transcription_TU_BSU15080,7.349152357209342e-08,7.351406647838144e-08,7.350455028620174e-08,7.366299432469295e-08,7.352152386672009e-08,7.350138882683319e-08,7.350455028620174e-08,7.351636100437596e-08,7.350455028620174e-08,7.352055854270915e-08,7.353326388974269e-08,0.0,0.0
translation_BSU15110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU15140,1.2296507292765784e-12,1.2277092347784564e-12,1.227917468608947e-12,1.22867903157024e-12,1.2278643775540842e-12,1.2277422702390306e-12,1.227917468608947e-12,1.2274262739662054e-12,1.227917468608947e-12,1.2280012678676232e-12,1.2282287873347285e-12,0.0,0.0
translation_BSU15180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU15190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU15200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU15220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU15230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU15320,8.439927261070235e-11,8.430610447349927e-11,8.432660676485545e-11,8.429815715105503e-11,8.430792384326851e-11,8.431969215756086e-11,8.432660676485545e-11,8.432926745735251e-11,8.432660676485545e-11,8.315139609642449e-11,8.431765905099557e-11,0.0,0.0
translation_BSU15350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU_BSU15350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU15430,1.0856864207569474e-08,1.0842312189287606e-08,1.0842592385062278e-08,1.0850949660503216e-08,1.0843800839995167e-08,1.0841202696209264e-08,1.0842592385062278e-08,1.0838564398276245e-08,1.0842592385062278e-08,1.0844280810987618e-08,1.0845794398432429e-08,0.0,0.0
transcription_TU_BSU15430,3.014680880125467e-10,3.0131192230545306e-10,3.012804002834625e-10,3.0171437518813456e-10,3.0135001586362517e-10,3.0125488511420683e-10,3.012804002834625e-10,3.01242163079909e-10,3.012804002834625e-10,3.0134697193522797e-10,3.0138739401663663e-10,0.0,0.0
translation_BSU15480,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU15490,4.703497642829832e-08,4.6923607956440846e-08,4.6933123153279734e-08,4.687813328973584e-08,4.6927567322601034e-08,4.6931605369168394e-08,4.6933123153279734e-08,4.689682984267259e-08,4.6933123153279734e-08,4.693451227430635e-08,4.693386917813483e-08,0.0,0.0
translation_BSU15500,3.735701186215243e-08,3.7268558680282725e-08,3.7276116020546795e-08,3.7232440927228975e-08,3.727170336323666e-08,3.72749105372372e-08,3.7276116020546795e-08,3.7247290458426343e-08,3.7276116020546795e-08,3.727721931461878e-08,3.727670854256929e-08,0.0,0.0
translation_BSU15510,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU15520,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU15530,3.617460541251041e-08,3.608895190886765e-08,3.609627004777634e-08,3.605397733783057e-08,3.609199705780584e-08,3.609510271985362e-08,3.609627004777634e-08,3.606835685869824e-08,3.609627004777634e-08,3.60973384209068e-08,3.609684381557235e-08,0.0,0.0
translation_BSU15540,3.617460541251041e-08,3.608895190886765e-08,3.609627004777634e-08,3.605397733783057e-08,3.609199705780584e-08,3.609510271985362e-08,3.609627004777634e-08,3.606835685869824e-08,3.609627004777634e-08,3.60973384209068e-08,3.609684381557235e-08,0.0,0.0
translation_BSU15550,5.780789526743293e-08,5.7671018894866975e-08,5.7682713458021485e-08,5.761512868358534e-08,5.767588511659587e-08,5.768084803973898e-08,5.7682713458021485e-08,5.763810750607242e-08,5.7682713458021485e-08,5.7684420744150205e-08,5.768363035285093e-08,0.0,0.0
translation_BSU15560,6.230820104822689e-08,6.216066894208228e-08,6.217327391911579e-08,6.210042771542884e-08,6.216591399590108e-08,6.217126327927417e-08,6.217327391911579e-08,6.212519542379725e-08,6.217327391911579e-08,6.217511411632178e-08,6.217426219359126e-08,0.0,0.0
translation_BSU15570,1.055568458203096e-09,1.3357163626664863e-08,1.2055383860308729e-08,1.2049713554352304e-08,1.2052309401358833e-08,1.205415450868179e-08,1.2055383860308729e-08,1.2050913152176997e-08,1.2055383860308729e-08,1.2055184702828892e-08,1.2055907639211773e-08,0.0,0.0
translation_BSU15580,1.3382555546702287e-08,1.3357163626664863e-08,1.3361607209534444e-08,1.3353130146656815e-08,1.3357934681450945e-08,1.3360489415407518e-08,1.3361607209534444e-08,1.3357062593415403e-08,1.3361607209534444e-08,1.3361254339159617e-08,1.3361814664630999e-08,0.0,0.0
translation_BSU15590,1.055568458203096e-09,1.3357163626664863e-08,1.2055383860308729e-08,1.2049713554352304e-08,1.2052309401358833e-08,1.205415450868179e-08,1.2055383860308729e-08,1.2050913152176997e-08,1.2055383860308729e-08,1.2055184702828892e-08,1.2055907639211773e-08,0.0,0.0
translation_BSU15600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU15610,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU15620,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU15630,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU15650,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU15680,9.976944812544778e-09,9.968584382868252e-09,9.968898497624649e-09,9.988780540651707e-09,9.970392614414585e-09,9.967887790679254e-09,9.968898497624649e-09,9.968446900354892e-09,9.968898497624649e-09,9.970842747426165e-09,9.972041836749527e-09,0.0,0.0
transcription_TU_BSU15680,2.7703491720450566e-10,2.7703069886087706e-10,2.7700328695260743e-10,2.7774146724539896e-10,2.77077937602711e-10,2.769872472048114e-10,2.7700328695260743e-10,2.7705851037686344e-10,2.7700328695260743e-10,2.770753839696594e-10,2.7710719858724223e-10,0.0,0.0
translation_BSU15690,5.015447038365565e-08,5.017638270561439e-08,5.016416001061121e-08,5.0380179657144624e-08,5.0190096712856336e-08,5.016259019967537e-08,5.016416001061121e-08,5.01852832463239e-08,5.016416001061121e-08,5.018053262139001e-08,5.0186446089002325e-08,0.0,0.0
transcription_TU_BSU15690,1.3926647697500746e-09,1.394420494763132e-09,1.3938989561852645e-09,1.4008381664924647e-09,1.3947864465410895e-09,1.393915949280997e-09,1.3938989561852645e-09,1.3948270937343756e-09,1.3938989561852645e-09,1.3944448524637224e-09,1.394601598192473e-09,0.0,0.0
translation_BSU15700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU_BSU15700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU15720,4.808711580387488e-10,4.801295681757645e-10,4.801901017827173e-10,4.803773055613561e-10,4.802051992076198e-10,4.801439649590128e-10,4.801901017827173e-10,4.800718700569515e-10,4.801901017827173e-10,4.803004780284102e-10,4.803279941762653e-10,0.0,0.0
transcription_TU_BSU15720,1.3352594802949517e-11,1.3342980779105582e-11,1.3342922148080246e-11,1.3357055662101623e-11,1.3344937493252229e-11,1.3342220328800233e-11,1.3342922148080246e-11,1.334290070673686e-11,1.3342922148080246e-11,1.3346859713025291e-11,1.334755179011563e-11,0.0,0.0
translation_BSU15730,4.808711580387488e-10,4.801295681757645e-10,4.801901017827173e-10,4.803773055613561e-10,4.802051992076198e-10,4.801439649590128e-10,4.801901017827173e-10,4.800718700569515e-10,4.801901017827173e-10,4.803004780284102e-10,4.803279941762653e-10,0.0,0.0
transcription_TU_BSU15730,1.3352594802949517e-11,1.3342980779105582e-11,1.3342922148080246e-11,1.3357055662101623e-11,1.3344937493252229e-11,1.3342220328800233e-11,1.3342922148080246e-11,1.334290070673686e-11,1.3342922148080246e-11,1.3346859713025291e-11,1.334755179011563e-11,0.0,0.0
translation_BSU15750,1.2296507292765784e-12,1.2277092347784564e-12,1.227917468608947e-12,1.22867903157024e-12,1.2278643775540842e-12,1.2277422702390306e-12,1.227917468608947e-12,1.2274262739662054e-12,1.227917468608947e-12,1.2280012678676232e-12,1.2282287873347285e-12,0.0,0.0
transcription_TU_BSU15750,3.414433921166566e-14,3.411850010450209e-14,3.4119835304998846e-14,3.416384168349238e-14,3.4122440564342603e-14,3.4116450631445263e-14,3.4119835304998846e-14,3.4114531427196924e-14,3.4119835304998846e-14,3.412438962568944e-14,3.41305265315125e-14,0.0,0.0
translation_BSU15790,2.2511460975536085e-07,1.4330782388287435e-07,1.4847913366063755e-07,1.0439890068877918e-07,1.4847034199135468e-07,1.485186072110408e-07,1.4847913366063755e-07,1.3585733680698007e-07,1.4847913366063755e-07,1.48453931057056e-07,1.5594623627962407e-07,0.0,0.0
transcription_TU_BSU15790,6.250872230613643e-09,3.982578175365872e-09,4.125752516957841e-09,2.9028472232523805e-09,4.126001627524591e-09,4.127028818336602e-09,4.125752516957841e-09,3.775957452125231e-09,4.125752516957841e-09,4.1253212984486215e-09,4.333498131387374e-09,0.0,0.0
translation_BSU15820,2.6466731423871383e-06,2.6453067404834964e-06,2.6453094076174627e-06,2.649238846378347e-06,2.6456038503228677e-06,2.64508060814517e-06,2.6453094076174627e-06,2.6450872777111458e-06,2.6453094076174627e-06,2.64571293714264e-06,2.6461845366691124e-06,0.0,0.0
translation_BSU15850,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU_BSU15850,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU15860,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU_BSU15860,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU15900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU15910,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU15920,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU_BSU15920,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU15930,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU15980,2.288649763504839e-07,2.2877540853367817e-07,2.288192568431796e-07,2.2883830198723186e-07,2.2878426917321754e-07,2.2877744709957591e-07,2.288192568431796e-07,2.2867110447371758e-07,2.288192568431796e-07,2.2874356256317802e-07,2.288149910250227e-07,0.0,0.0
translation_BSU15990,2.6466731423871383e-06,2.6453067404834964e-06,2.6453094076174627e-06,2.649238846378347e-06,2.6456038503228677e-06,2.64508060814517e-06,2.6453094076174627e-06,2.6450872777111458e-06,2.6453094076174627e-06,2.64571293714264e-06,2.6461845366691124e-06,0.0,0.0
translation_BSU16020,1.2296507292765784e-12,1.2277092347784564e-12,1.227917468608947e-12,1.22867903157024e-12,1.2278643775540842e-12,1.2277422702390306e-12,1.227917468608947e-12,1.2274262739662054e-12,1.227917468608947e-12,1.2280012678676232e-12,1.2282287873347285e-12,0.0,0.0
transcription_TU_BSU16020,3.414433921166566e-14,3.411850010450209e-14,3.4119835304998846e-14,3.416384168349238e-14,3.4122440564342603e-14,3.4116450631445263e-14,3.4119835304998846e-14,3.4114531427196924e-14,3.4119835304998846e-14,3.412438962568944e-14,3.41305265315125e-14,0.0,0.0
translation_BSU16040,2.6466731423871383e-06,2.6453067404834964e-06,2.6453094076174627e-06,2.649238846378347e-06,2.6456038503228677e-06,2.64508060814517e-06,2.6453094076174627e-06,2.6450872777111458e-06,2.6453094076174627e-06,2.64571293714264e-06,2.6461845366691124e-06,0.0,0.0
transcription_TU_BSU16040,7.349152357209342e-08,7.351406647838144e-08,7.350455028620174e-08,7.366299432469295e-08,7.352152386672009e-08,7.350138882683319e-08,7.350455028620174e-08,7.351636100437596e-08,7.350455028620174e-08,7.352055854270915e-08,7.353326388974269e-08,0.0,0.0
translation_BSU16090,3.8371971209068e-07,3.7358646074150833e-07,3.7350636134662404e-07,3.897352860762729e-07,3.73535140301164e-07,3.7356973886348416e-07,3.7350636134662404e-07,3.8646868894236566e-07,3.7350636134662404e-07,3.7347337792760287e-07,3.809453645809265e-07,0.0,0.0
translation_BSU16100,3.8371971209068e-07,3.7358646074150833e-07,3.7350636134662404e-07,3.897352860762729e-07,3.73535140301164e-07,3.7356973886348416e-07,3.7350636134662404e-07,3.8646868894236566e-07,3.7350636134662404e-07,3.7347337792760287e-07,3.809453645809265e-07,0.0,0.0
translation_BSU16470,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU16490,2.6466731423871383e-06,2.6453067404834964e-06,2.6453094076174627e-06,2.649238846378347e-06,2.6456038503228677e-06,2.64508060814517e-06,2.6453094076174627e-06,2.6450872777111458e-06,2.6453094076174627e-06,2.64571293714264e-06,2.6461845366691124e-06,0.0,0.0
transcription_TU_BSU16490,7.349152357209342e-08,7.351406647838144e-08,7.350455028620174e-08,7.366299432469295e-08,7.352152386672009e-08,7.350138882683319e-08,7.350455028620174e-08,7.351636100437596e-08,7.350455028620174e-08,7.352055854270915e-08,7.353326388974269e-08,0.0,0.0
translation_BSU16500,1.7098454345601454e-07,1.7075412561298115e-07,1.7077683806139908e-07,1.7091502598158715e-07,1.7077516593464644e-07,1.7075453913708015e-07,1.7077683806139908e-07,1.707202022013715e-07,1.7077683806139908e-07,1.707915504560881e-07,1.7082299421546745e-07,0.0,0.0
transcription_TU_BSU16500,4.7478150605811616e-09,4.745321194575811e-09,4.7453332471639194e-09,4.752350889802847e-09,4.745854310944894e-09,4.744919960629198e-09,4.7453332471639194e-09,4.7449201852562375e-09,4.7453332471639194e-09,4.74605162473449e-09,4.7468995975213985e-09,0.0,0.0
translation_BSU16510,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU_BSU16510,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU16520,4.808711580387488e-10,4.801295681757645e-10,4.801901017827173e-10,4.803773055613561e-10,4.802051992076198e-10,4.801439649590128e-10,4.801901017827173e-10,4.800718700569515e-10,4.801901017827173e-10,4.803004780284102e-10,4.803279941762653e-10,0.0,0.0
transcription_TU_BSU16520,1.3352594802949517e-11,1.3342980779105582e-11,1.3342922148080246e-11,1.3357055662101623e-11,1.3344937493252229e-11,1.3342220328800233e-11,1.3342922148080246e-11,1.334290070673686e-11,1.3342922148080246e-11,1.3346859713025291e-11,1.334755179011563e-11,0.0,0.0
translation_BSU16530,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU_BSU16530,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU16540,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU_BSU16540,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU16550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU_BSU16550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU16570,7.325881706024559e-09,7.318222878534226e-09,7.318173310778581e-09,7.324658894999637e-09,7.318940990366938e-09,7.317197922341608e-09,7.318173310778581e-09,7.3156320300603706e-09,7.318173310778581e-09,7.3182985071876476e-09,7.319867678432258e-09,0.0,0.0
transcription_TU_BSU16570,2.0342149525841207e-10,2.033761585992275e-10,2.0334824976475944e-10,2.0366465158484022e-10,2.033939036778728e-10,2.0332998849137874e-10,2.0334824976475944e-10,2.0332737215479738e-10,2.0334824976475944e-10,2.0336499333589736e-10,2.0340749262849405e-10,0.0,0.0
translation_BSU16600,2.4322816365583535e-11,2.4290146329779776e-11,2.429352726274796e-11,2.431754447674648e-11,2.429397216044746e-11,2.4290756427033708e-11,2.429352726274796e-11,2.4287141311294452e-11,2.429352726274796e-11,2.4298687964396287e-11,2.430169134765202e-11,0.0,0.0
translation_BSU16630,9.617423160774988e-10,9.602591363515303e-10,9.603802035654359e-10,9.607546111227133e-10,9.604103984152408e-10,9.602879299180267e-10,9.603802035654359e-10,9.601437401139043e-10,9.603802035654359e-10,9.606009560568217e-10,9.606559883525319e-10,0.0,0.0
translation_BSU16650,1.2296507292765784e-12,1.2277092347784564e-12,1.227917468608947e-12,1.22867903157024e-12,1.2278643775540842e-12,1.2277422702390306e-12,1.227917468608947e-12,1.2274262739662054e-12,1.227917468608947e-12,1.2280012678676232e-12,1.2282287873347285e-12,0.0,0.0
translation_BSU16670,2.609883107840285e-20,2.5998494702685603e-20,2.6014571326065848e-20,4.886838347437337e-20,2.6000605368236218e-20,2.600919058552953e-20,2.6014571326065848e-20,2.5985677752280516e-20,2.6014571326065848e-20,2.600780683524962e-20,2.600998771404939e-20,0.0,0.0
transcription_TU_BSU16670,7.246995591123765e-22,7.225079188970528e-22,7.22860380983951e-22,1.358802155362773e-21,7.225587186443876e-22,7.227422954186562e-22,7.22860380983951e-22,7.222341896533275e-22,7.22860380983951e-22,7.227195581783376e-22,7.227762326635184e-22,0.0,0.0
translation_BSU16680,2.6466731423871383e-06,2.6453067404834964e-06,2.6453094076174627e-06,2.649238846378347e-06,2.6456038503228677e-06,2.64508060814517e-06,2.6453094076174627e-06,2.6450872777111458e-06,2.6453094076174627e-06,2.64571293714264e-06,2.6461845366691124e-06,0.0,0.0
transcription_TU_BSU16680,7.349152357209342e-08,7.351406647838144e-08,7.350455028620174e-08,7.366299432469295e-08,7.352152386672009e-08,7.350138882683319e-08,7.350455028620174e-08,7.351636100437596e-08,7.350455028620174e-08,7.352055854270915e-08,7.353326388974269e-08,0.0,0.0
translation_BSU16690,1.348800091832732e-11,1.3478371244409737e-11,1.3478312956870593e-11,1.3492654505476155e-11,1.3480335446751888e-11,1.347759708323143e-11,1.3478312956870593e-11,1.347825854721932e-11,1.3478312956870593e-11,1.3482242421035746e-11,1.348297328553371e-11,0.0,0.0
transcription_TU_BSU16690,3.745282035603457e-13,3.745689921391647e-13,3.7451850798949196e-13,3.751678840209748e-13,3.7461950479048827e-13,3.745149015933574e-13,3.7451850798949196e-13,3.7460862989939447e-13,3.7451850798949196e-13,3.7465213224276375e-13,3.7467040521349517e-13,0.0,0.0
translation_BSU16730,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU16740,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU16750,9.682808168867244e-08,1.3025375379404987e-07,1.3027648917939064e-07,2.0040431353976528e-07,1.3026812305664904e-07,1.3026001833684853e-07,1.3027648917939064e-07,1.691070775843333e-07,1.3027648917939064e-07,1.3028449819288484e-07,1.3030354051664793e-07,0.0,0.0
translation_BSU16760,3.1733191643858173e-08,4.2687692035130446e-08,4.269514303826439e-08,6.567793533554207e-08,4.2692401232667855e-08,4.2689745095913275e-08,4.269514303826439e-08,5.5420981266266535e-08,4.269514303826439e-08,4.269776780946358e-08,4.270400849603694e-08,0.0,0.0
translation_BSU16770,3.871754913408453e-08,3.866199350220591e-08,3.8667755697678656e-08,3.869790125824001e-08,3.866743716523441e-08,3.8662441844396e-08,3.8667755697678656e-08,8.375968475080261e-08,3.8667755697678656e-08,3.867151757498993e-08,3.867901734229224e-08,0.0,0.0
translation_BSU16780,1.348800091832732e-11,1.3478371244409737e-11,1.3478312956870593e-11,1.3492654505476155e-11,1.3480335446751888e-11,1.347759708323143e-11,1.3478312956870593e-11,1.347825854721932e-11,1.3478312956870593e-11,1.3482242421035746e-11,1.348297328553371e-11,0.0,0.0
translation_BSU16920,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU16960,1.348800091832732e-11,1.3478371244409737e-11,1.3478312956870593e-11,1.3492654505476155e-11,1.3480335446751888e-11,1.347759708323143e-11,1.3478312956870593e-11,1.347825854721932e-11,1.3478312956870593e-11,1.3482242421035746e-11,1.348297328553371e-11,0.0,0.0
