,base,HISt2r_FWD_BSU39390-MONOMER_s,CBL1t_s,ASNt2r_FWD_CPLX_dummy_s,ASPt2r_FWD_CPLX_dummy_s,PSER_Lt6_FWD_CPLX_dummy_s,METt3_FWD_CPLX_dummy_s,TYRt2r_REV_CPLX_dummy_s,PYDX5Pt_s,4FE4St_s,PHEt2r_REV_CPLX_dummy_s,THMPPt_s,CITt13_FWD_BSU07610-MONOMER_s
transcription_TU8J2_691_from_BSU25200-MONOMER,2.6089589689012673e-11,1.2442438161383055e-11,1.3185009167569909e-11,1.239221061742394e-11,1.3185009167569909e-11,2.8349783512965825e-11,1.3185009167569909e-11,1.3094297111614777e-11,2.7176514117621278e-11,1.3378290593265905e-11,1.3847765651884405e-11,0.0,0.0
transcription_TU8J2_467_from_BSU25200-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU00090,2.1158680015846545e-08,2.1098176795114418e-08,2.110059422954025e-08,2.1098087894960625e-08,2.110059422954025e-08,2.1122479460009243e-08,2.110059422954025e-08,2.109856168583798e-08,2.1118032177450194e-08,2.108372774442421e-08,2.1100823082072614e-08,0.0,0.0
translation_BSU00110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU00120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU00130,8.709400224221222e-09,8.69428458122992e-09,8.695336169195591e-09,8.695095892136489e-09,8.695336169195591e-09,8.73763401490608e-09,8.695336169195591e-09,8.695479978436985e-09,8.73461262678357e-09,8.704973745520139e-09,8.697897147230678e-09,0.0,0.0
transcription_TU_BSU_tRNA_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU00140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU00150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU00180,2.6477489647675624e-11,2.6425780055047373e-11,2.6429075924591397e-11,2.642739182844144e-11,2.6429075924591397e-11,2.6547721022361724e-11,2.6429075924591397e-11,2.64295914998115e-11,2.654053009526294e-11,2.6454858439854932e-11,2.6436307866127357e-11,0.0,0.0
transcription_TU_BSU_misc_RNA_2,2.288649763504839e-07,2.286251303397e-07,2.2866390124635948e-07,2.2854908251716896e-07,2.2866390124635948e-07,2.285251049283664e-07,2.2866390124635948e-07,2.2867110447371758e-07,2.285347734662887e-07,2.28759544871907e-07,2.2866332154889528e-07,0.0,0.0
transcription_TU_BSU_rRNA_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU_BSU_tRNA_8,1.3589745558600912e-06,1.357792661566856e-06,1.3578919811598008e-06,1.3580606285008058e-06,1.3578919811598008e-06,1.3654226506874904e-06,1.3578919811598008e-06,1.3579708991998955e-06,1.3650408959234602e-06,1.3602100485818497e-06,1.3583931756891228e-06,0.0,0.0
transcription_TU_BSU_tRNA_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU_BSU_rRNA_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU_BSU_rRNA_26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU00270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU_BSU00270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU00280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU_BSU00280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU00380,4.877397477064819e-09,4.8706025760905265e-09,4.8710764139582565e-09,4.871056165859427e-09,4.8710764139582565e-09,4.888434700627288e-09,4.8710764139582565e-09,4.871077275197525e-09,4.887277191689218e-09,4.87496443807486e-09,4.872128166283008e-09,0.0,0.0
translation_BSU00410,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU00460,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU_BSU00460,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU00500,5.279378070791719e-07,5.266381908845457e-07,5.266899967612793e-07,5.265493867380758e-07,5.266899967612793e-07,5.260758910860921e-07,5.266899967612793e-07,5.266603930911495e-07,5.260610977789276e-07,5.259131761471481e-07,5.266159891459363e-07,0.0,0.0
translation_BSU00510,7.998503005467435e-07,7.288796960338541e-07,7.275994696316101e-07,7.746430705572914e-07,7.275994696316101e-07,9.048160008521238e-07,7.275994696316101e-07,7.276799842087594e-07,8.940549949753655e-07,7.130321156363587e-07,7.38183150439131e-07,0.0,0.0
translation_BSU00550,2.4322816365583535e-11,2.4284288934724157e-11,2.4286683897292973e-11,2.428942308802105e-11,2.4286683897292973e-11,2.4419473130793903e-11,2.4286683897292973e-11,2.4287141311294452e-11,2.441106007551604e-11,2.4318063851817463e-11,2.429527182635336e-11,0.0,0.0
transcription_TU_BSU00550,6.75384052395207e-13,6.749575677709218e-13,6.749984406417806e-13,6.751443219675971e-13,6.749984406417806e-13,6.78995516352582e-13,6.749984406417806e-13,6.750258350455837e-13,6.78768973939484e-13,6.762567373137336e-13,6.752738421159269e-13,0.0,0.0
transcription_TU_BSU_tRNA_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU00680,8.379755421623317e-07,7.506888028456982e-07,7.490899527389276e-07,8.072287054900266e-07,7.490899527389276e-07,9.569561041409803e-07,7.490899527389276e-07,7.492012543791319e-07,9.436919677656044e-07,7.311787422752752e-07,7.621602231826998e-07,0.0,0.0
transcription_TU_BSU00680,2.3268494444355773e-08,2.0864645857391784e-08,2.0819414957492816e-08,2.2437580137900594e-08,2.0819414957492816e-08,2.660863731898361e-08,2.0819414957492816e-08,2.0822961248193023e-08,2.6240107012708296e-08,2.0333220344237315e-08,2.1183828108407867e-08,0.0,0.0
translation_BSU00730,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU00740,3.388956651966991e-11,3.380614110688976e-11,3.380946664766773e-11,3.380044056036958e-11,3.380946664766773e-11,3.3770045763521345e-11,3.380946664766773e-11,3.380756631862397e-11,3.3769096146425404e-11,3.375960070981778e-11,3.3804715925197215e-11,0.0,0.0
translation_BSU00750,2.371299401687085e-09,2.367952964817853e-09,2.368182291408303e-09,2.367767001685952e-09,2.368182291408303e-09,5.094402224621005e-09,2.368182291408303e-09,2.3681843916825394e-09,5.0939851516143185e-09,2.369342887053117e-09,2.3684768312865705e-09,0.0,0.0
translation_BSU00760,1.7155668162189573e-11,1.711343632375283e-11,1.7115119788013538e-11,1.7110550577651994e-11,1.7115119788013538e-11,1.709516404125936e-11,1.7115119788013538e-11,1.7114157798297474e-11,1.709468332352077e-11,1.7089876517880426e-11,1.711271486441596e-11,0.0,0.0
translation_BSU00770,2.1634511488033815e-11,2.1581254151439126e-11,2.1583377118993853e-11,2.1577615021410505e-11,2.1583377118993853e-11,2.155821151026769e-11,2.1583377118993853e-11,2.158216398189148e-11,2.1557605291183723e-11,2.1551543569141564e-11,2.158034434016485e-11,0.0,0.0
translation_BSU00780,5.702082206453921e-11,5.688045480386515e-11,5.688605018582021e-11,5.6870863360769855e-11,5.688605018582021e-11,5.68197226563951e-11,5.688605018582021e-11,5.6882852791005335e-11,5.6818124880058075e-11,5.6802148352269966e-11,5.68780568672715e-11,0.0,0.0
translation_BSU00790,2.620915737991728e-11,2.614463870949491e-11,2.6147210581329642e-11,2.6140230080638232e-11,2.6147210581329642e-11,2.6116723671559096e-11,2.6147210581329642e-11,2.614574092479235e-11,2.6115989266652977e-11,2.6108645785517102e-11,2.6143536517430772e-11,0.0,0.0
translation_BSU00810,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU00820,1.0936632153093647e-08,1.091633929929811e-08,1.0917662117425405e-08,1.0917330141607094e-08,1.0917662117425405e-08,1.0971341495743065e-08,1.0917662117425405e-08,1.0917896803121708e-08,1.096804385018545e-08,1.0930015819814391e-08,1.0921042379700818e-08,0.0,0.0
transcription_TU_BSU_rRNA_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU_BSU_rRNA_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transcription_TU_BSU_rRNA_11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU00900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU00910,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU00930,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
translation_BSU00940,1.0555680216756406e-09,1.0536975852385968e-09,1.0537835910768381e-09,1.0539978296212383e-09,1.0537835910768381e-09,1.0607974645626749e-09,1.0537835910768381e-09,1.0538023813956513e-09,1.0603246101249712e-09,1.0549508434705529e-09,1.05420163020863e-09,0.0,0.0
translation_BSU00980,2.788292693141195e-11,2.7938244500215727e-11,2.7934810112781652e-11,2.7937195801531334e-11,2.7934810112781652e-11,2.784684668627467e-11,2.7934810112781652e-11,2.7934929739088875e-11,2.7852855392898725e-11,2.7922301058827365e-11,2.7930467835318356e-11,0.0,0.0
translation_BSU00990,2.6466731423871383e-06,2.6447615739878068e-06,2.644961342856163e-06,2.6451459122268926e-06,2.644961342856163e-06,2.6583853254654267e-06,2.644961342856163e-06,2.6450872777111458e-06,2.6577026217448406e-06,2.6494962037777267e-06,2.64587099722499e-06,0.0,0.0
transcription_TU_BSU00990,7.349152357209342e-08,7.350850766564072e-08,7.351126195473301e-08,7.352398766097194e-08,7.351126195473301e-08,7.391771751423698e-08,7.351126195473301e-08,7.351636100437596e-08,7.38995388163161e-08,7.367937140102291e-08,7.354054265411336e-08,0.0,0.0
translation_BSU01000,2.288649763504839e-07,2.286251303397e-07,2.2866390124635948e-07,2.2854908251716896e-07,2.2866390124635948e-07,2.285251049283664e-07,2.2866390124635948e-07,2.2867110447371758e-07,2.285347734662887e-07,2.28759544871907e-07,2.2866332154889528e-07,0.0,0.0
transcription_TU_BSU01000,6.355010573431784e-09,6.3544072597794885e-09,6.355242956390706e-09,6.35270812292241e-09,6.355242956390706e-09,6.354253459493843e-09,6.355242956390706e-09,6.3555813864509575e-09,6.354591452207795e-09,6.361533730115961e-09,6.355572425652857e-09,0.0,0.0
translation_BSU01010,2.4322816365583535e-11,2.4284288934724157e-11,2.4286683897292973e-11,2.428942308802105e-11,2.4286683897292973e-11,2.4419473130793903e-11,2.4286683897292973e-11,2.4287141311294452e-11,2.441106007551604e-11,2.4318063851817463e-11,2.429527182635336e-11,0.0,0.0
transcription_TU_BSU01010,6.75384052395207e-13,6.749575677709218e-13,6.749984406417806e-13,6.751443219675971e-13,6.749984406417806e-13,6.78995516352582e-13,6.749984406417806e-13,6.750258350455837e-13,6.78768973939484e-13,6.762567373137336e-13,6.752738421159269e-13,0.0,0.0
translation_BSU01020,2.6466731423871383e-06,2.6447615739878068e-06,2.644961342856163e-06,2.6451459122268926e-06,2.644961342856163e-06,2.6583853254654267e-06,2.644961342856163e-06,2.6450872777111458e-06,2.6577026217448406e-06,2.6494962037777267e-06,2.64587099722499e-06,0.0,0.0
transcription_TU_BSU01020,7.349152357209342e-08,7.350850766564072e-08,7.351126195473301e-08,7.352398766097194e-08,7.351126195473301e-08,7.391771751423698e-08,7.351126195473301e-08,7.351636100437596e-08,7.38995388163161e-08,7.367937140102291e-08,7.354054265411336e-08,0.0,0.0
translation_BSU01030,2.6466731423871383e-06,2.6447615739878068e-06,2.644961342856163e-06,2.6451459122268926e-06,2.644961342856163e-06,2.6583853254654267e-06,2.644961342856163e-06,2.6450872777111458e-06,2.6577026217448406e-06,2.6494962037777267e-06,2.64587099722499e-06,0.0,0.0
transcription_TU_BSU01030,7.349152357209342e-08,7.350850766564072e-08,7.351126195473301e-08,7.352398766097194e-08,7.351126195473301e-08,7.391771751423698e-08,7.351126195473301e-08,7.351636100437596e-08,7.38995388163161e-08,7.367937140102291e-08,7.354054265411336e-08,0.0,0.0
translation_BSU01040,2.6466731423871383e-06,2.6447615739878068e-06,2.644961342856163e-06,2.6451459122268926e-06,2.644961342856163e-06,2.6583853254654267e-06,2.644961342856163e-06,2.6450872777111458e-06,2.6577026217448406e-06,2.6494962037777267e-06,2.64587099722499e-06,0.0,0.0
translation_BSU01050,2.6466731423871383e-06,2.6447615739878068e-06,2.644961342856163e-06,2.6451459122268926e-06,2.644961342856163e-06,2.6583853254654267e-06,2.644961342856163e-06,2.6450872777111458e-06,2.6577026217448406e-06,2.6494962037777267e-06,2.64587099722499e-06,0.0,0.0
translation_BSU01070,5.015447038365565e-08,5.018186019843951e-08,5.018313111964008e-08,5.01985420160451e-08,5.018313111964008e-08,5.0486848710805127e-08,5.018313111964008e-08,5.01852832463239e-08,5.046360964463031e-08,5.04098063310116e-08,5.020582606800025e-08,0.0,0.0
translation_BSU01080,5.015447038365565e-08,5.018186019843951e-08,5.018313111964008e-08,5.01985420160451e-08,5.018313111964008e-08,5.0486848710805127e-08,5.018313111964008e-08,5.01852832463239e-08,5.046360964463031e-08,5.04098063310116e-08,5.020582606800025e-08,0.0,0.0
transcription_TU_BSU01080,1.3926647697500746e-09,1.3947547073255037e-09,1.3947369429078235e-09,1.3953094106174571e-09,1.3947369429078235e-09,1.4038117745537667e-09,1.3947369429078235e-09,1.3948270937343756e-09,1.403180871039836e-09,1.401837389923594e-09,1.395443578810584e-09,0.0,0.0
translation_BSU01100,2.6466731423871383e-06,2.6447615739878068e-06,2.644961342856163e-06,2.6451459122268926e-06,2.644961342856163e-06,2.6583853254654267e-06,2.644961342856163e-06,2.6450872777111458e-06,2.6577026217448406e-06,2.6494962037777267e-06,2.64587099722499e-06,0.0,0.0
transcription_TU_BSU01100,7.349152357209342e-08,7.350850766564072e-08,7.351126195473301e-08,7.352398766097194e-08,7.351126195473301e-08,7.391771751423698e-08,7.351126195473301e-08,7.351636100437596e-08,7.38995388163161e-08,7.367937140102291e-08,7.354054265411336e-08,0.0,0.0
translation_BSU01110,2.6466731423871383e-06,2.6447615739878068e-06,2.644961342856163e-06,2.6451459122268926e-06,2.644961342856163e-06,2.6583853254654267e-06,2.644961342856163e-06,2.6450872777111458e-06,2.6577026217448406e-06,2.6494962037777267e-06,2.64587099722499e-06,0.0,0.0
transcription_TU_BSU01110,7.349152357209342e-08,7.350850766564072e-08,7.351126195473301e-08,7.352398766097194e-08,7.351126195473301e-08,7.391771751423698e-08,7.351126195473301e-08,7.351636100437596e-08,7.38995388163161e-08,7.367937140102291e-08,7.354054265411336e-08,0.0,0.0
translation_BSU01120,1.7098454345601454e-07,1.7069634207055036e-07,1.7071582597520256e-07,1.7070980980984703e-07,1.7071582597520256e-07,1.715037565413538e-07,1.7071582597520256e-07,1.707202022013715e-07,1.7145785314863747e-07,1.709099658514107e-07,1.7076513626901989e-07,0.0,0.0
transcription_TU_BSU01120,4.7478150605811616e-09,4.744334420539237e-09,4.744695357070931e-09,4.745018371973066e-09,4.744695357070931e-09,4.768746692669454e-09,4.744695357070931e-09,4.7449201852562375e-09,4.767522209012758e-09,4.752805017100018e-09,4.746323914052663e-09,0.0,0.0
translation_BSU01130,1.7098454214643217e-07,1.7069634076496477e-07,1.707158246694494e-07,1.707098085040734e-07,1.707158246694494e-07,1.7150375522968734e-07,1.707158246694494e-07,1.707202008956314e-07,1.714578518374305e-07,1.7090996454580213e-07,1.7076513496294355e-07,0.0,0.0
transcription_TU_BSU01130,4.74781502421732e-09,4.744334384251789e-09,4.744695320780206e-09,4.745018335678023e-09,4.744695320780206e-09,4.76874665619792e-09,4.744695320780206e-09,4.744920148965088e-09,4.767522172553604e-09,4.7528049807925795e-09,4.746323877750983e-09,0.0,0.0
translation_BSU01150,2.6466731423871383e-06,2.6447615739878068e-06,2.644961342856163e-06,2.6451459122268926e-06,2.644961342856163e-06,2.6583853254654267e-06,2.644961342856163e-06,2.6450872777111458e-06,2.6577026217448406e-06,2.6494962037777267e-06,2.64587099722499e-06,0.0,0.0
transcription_TU_BSU01150,7.349152357209342e-08,7.350850766564072e-08,7.351126195473301e-08,7.352398766097194e-08,7.351126195473301e-08,7.391771751423698e-08,7.351126195473301e-08,7.351636100437596e-08,7.38995388163161e-08,7.367937140102291e-08,7.354054265411336e-08,0.0,0.0
translation_BSU01160,2.6466731423871383e-06,2.6447615739878068e-06,2.644961342856163e-06,2.6451459122268926e-06,2.644961342856163e-06,2.6583853254654267e-06,2.644961342856163e-06,2.6450872777111458e-06,2.6577026217448406e-06,2.6494962037777267e-06,2.64587099722499e-06,0.0,0.0
transcription_TU_BSU01160,7.349152357209342e-08,7.350850766564072e-08,7.351126195473301e-08,7.352398766097194e-08,7.351126195473301e-08,7.391771751423698e-08,7.351126195473301e-08,7.351636100437596e-08,7.38995388163161e-08,7.367937140102291e-08,7.354054265411336e-08,0.0,0.0
translation_BSU01170,2.6466731423871383e-06,2.6447615739878068e-06,2.644961342856163e-06,2.6451459122268926e-06,2.644961342856163e-06,2.6583853254654267e-06,2.644961342856163e-06,2.6450872777111458e-06,2.6577026217448406e-06,2.6494962037777267e-06,2.64587099722499e-06,0.0,0.0
transcription_TU_BSU01170,7.349152357209342e-08,7.350850766564072e-08,7.351126195473301e-08,7.352398766097194e-08,7.351126195473301e-08,7.391771751423698e-08,7.351126195473301e-08,7.351636100437596e-08,7.38995388163161e-08,7.367937140102291e-08,7.354054265411336e-08,0.0,0.0
translation_BSU01180,2.6466731423871383e-06,2.6447615739878068e-06,2.644961342856163e-06,2.6451459122268926e-06,2.644961342856163e-06,2.6583853254654267e-06,2.644961342856163e-06,2.6450872777111458e-06,2.6577026217448406e-06,2.6494962037777267e-06,2.64587099722499e-06,0.0,0.0
transcription_TU_BSU01180,7.349152357209342e-08,7.350850766564072e-08,7.351126195473301e-08,7.352398766097194e-08,7.351126195473301e-08,7.391771751423698e-08,7.351126195473301e-08,7.351636100437596e-08,7.38995388163161e-08,7.367937140102291e-08,7.354054265411336e-08,0.0,0.0
translation_BSU01190,2.6466731423871383e-06,2.6447615739878068e-06,2.644961342856163e-06,2.6451459122268926e-06,2.644961342856163e-06,2.6583853254654267e-06,2.644961342856163e-06,2.6450872777111458e-06,2.6577026217448406e-06,2.6494962037777267e-06,2.64587099722499e-06,0.0,0.0
transcription_TU_BSU01190,7.349152357209342e-08,7.350850766564072e-08,7.351126195473301e-08,7.352398766097194e-08,7.351126195473301e-08,7.391771751423698e-08,7.351126195473301e-08,7.351636100437596e-08,7.38995388163161e-08,7.367937140102291e-08,7.354054265411336e-08,0.0,0.0
translation_BSU01200,2.6466731423871383e-06,2.6447615739878068e-06,2.644961342856163e-06,2.6451459122268926e-06,2.644961342856163e-06,2.6583853254654267e-06,2.644961342856163e-06,2.6450872777111458e-06,2.6577026217448406e-06,2.6494962037777267e-06,2.64587099722499e-06,0.0,0.0
transcription_TU_BSU01200,7.349152357209342e-08,7.350850766564072e-08,7.351126195473301e-08,7.352398766097194e-08,7.351126195473301e-08,7.391771751423698e-08,7.351126195473301e-08,7.351636100437596e-08,7.38995388163161e-08,7.367937140102291e-08,7.354054265411336e-08,0.0,0.0
translation_BSU01210,2.6466731423871383e-06,2.6447615739878068e-06,2.644961342856163e-06,2.6451459122268926e-06,2.644961342856163e-06,2.6583853254654267e-06,2.644961342856163e-06,2.6450872777111458e-06,2.6577026217448406e-06,2.6494962037777267e-06,2.64587099722499e-06,0.0,0.0
transcription_TU_BSU01210,7.349152357209342e-08,7.350850766564072e-08,7.351126195473301e-08,7.352398766097194e-08,7.351126195473301e-08,7.391771751423698e-08,7.351126195473301e-08,7.351636100437596e-08,7.38995388163161e-08,7.367937140102291e-08,7.354054265411336e-08,0.0,0.0
translation_BSU01220,2.6466731423871383e-06,2.6447615739878068e-06,2.644961342856163e-06,2.6451459122268926e-06,2.644961342856163e-06,2.6583853254654267e-06,2.644961342856163e-06,2.6450872777111458e-06,2.6577026217448406e-06,2.6494962037777267e-06,2.64587099722499e-06,0.0,0.0
transcription_TU_BSU01220,7.349152357209342e-08,7.350850766564072e-08,7.351126195473301e-08,7.352398766097194e-08,7.351126195473301e-08,7.391771751423698e-08,7.351126195473301e-08,7.351636100437596e-08,7.38995388163161e-08,7.367937140102291e-08,7.354054265411336e-08,0.0,0.0
translation_BSU01230,2.6466731423871383e-06,2.6447615739878068e-06,2.644961342856163e-06,2.6451459122268926e-06,2.644961342856163e-06,2.6583853254654267e-06,2.644961342856163e-06,2.6450872777111458e-06,2.6577026217448406e-06,2.6494962037777267e-06,2.64587099722499e-06,0.0,0.0
transcription_TU_BSU01230,7.349152357209342e-08,7.350850766564072e-08,7.351126195473301e-08,7.352398766097194e-08,7.351126195473301e-08,7.391771751423698e-08,7.351126195473301e-08,7.351636100437596e-08,7.38995388163161e-08,7.367937140102291e-08,7.354054265411336e-08,0.0,0.0
translation_BSU01240,2.6466731423871383e-06,2.6447615739878068e-06,2.644961342856163e-06,2.6451459122268926e-06,2.644961342856163e-06,2.6583853254654267e-06,2.644961342856163e-06,2.6450872777111458e-06,2.6577026217448406e-06,2.6494962037777267e-06,2.64587099722499e-06,0.0,0.0
transcription_TU_BSU01240,7.349152357209342e-08,7.350850766564072e-08,7.351126195473301e-08,7.352398766097194e-08,7.351126195473301e-08,7.391771751423698e-08,7.351126195473301e-08,7.351636100437596e-08,7.38995388163161e-08,7.367937140102291e-08,7.354054265411336e-08,0.0,0.0
translation_BSU01250,2.6466731423871383e-06,2.6447615739878068e-06,2.644961342856163e-06,2.6451459122268926e-06,2.644961342856163e-06,2.6583853254654267e-06,2.644961342856163e-06,2.6450872777111458e-06,2.6577026217448406e-06,2.6494962037777267e-06,2.64587099722499e-06,0.0,0.0
transcription_TU_BSU01250,7.349152357209342e-08,7.350850766564072e-08,7.351126195473301e-08,7.352398766097194e-08,7.351126195473301e-08,7.391771751423698e-08,7.351126195473301e-08,7.351636100437596e-08,7.38995388163161e-08,7.367937140102291e-08,7.354054265411336e-08,0.0,0.0
translation_BSU01260,2.6466731423871383e-06,2.6447615739878068e-06,2.644961342856163e-06,2.6451459122268926e-06,2.644961342856163e-06,2.6583853254654267e-06,2.644961342856163e-06,2.6450872777111458e-06,2.6577026217448406e-06,2.6494962037777267e-06,2.64587099722499e-06,0.0,0.0
transcription_TU_BSU01260,7.349152357209342e-08,7.350850766564072e-08,7.351126195473301e-08,7.352398766097194e-08,7.351126195473301e-08,7.391771751423698e-08,7.351126195473301e-08,7.351636100437596e-08,7.38995388163161e-08,7.367937140102291e-08,7.354054265411336e-08,0.0,0.0
translation_BSU01270,2.6466731423871383e-06,2.6447615739878068e-06,2.644961342856163e-06,2.6451459122268926e-06,2.644961342856163e-06,2.6583853254654267e-06,2.644961342856163e-06,2.6450872777111458e-06,2.6577026217448406e-06,2.6494962037777267e-06,2.64587099722499e-06,0.0,0.0
transcription_TU_BSU01270,7.349152357209342e-08,7.350850766564072e-08,7.351126195473301e-08,7.352398766097194e-08,7.351126195473301e-08,7.391771751423698e-08,7.351126195473301e-08,7.351636100437596e-08,7.38995388163161e-08,7.367937140102291e-08,7.354054265411336e-08,0.0,0.0
translation_BSU01280,2.6466731423871383e-06,2.6447615739878068e-06,2.644961342856163e-06,2.6451459122268926e-06,2.644961342856163e-06,2.6583853254654267e-06,2.644961342856163e-06,2.6450872777111458e-06,2.6577026217448406e-06,2.6494962037777267e-06,2.64587099722499e-06,0.0,0.0
transcription_TU_BSU01280,7.349152357209342e-08,7.350850766564072e-08,7.351126195473301e-08,7.352398766097194e-08,7.351126195473301e-08,7.391771751423698e-08,7.351126195473301e-08,7.351636100437596e-08,7.38995388163161e-08,7.367937140102291e-08,7.354054265411336e-08,0.0,0.0
translation_BSU01290,2.6466731423871383e-06,2.6447615739878068e-06,2.644961342856163e-06,2.6451459122268926e-06,2.644961342856163e-06,2.6583853254654267e-06,2.644961342856163e-06,2.6450872777111458e-06,2.6577026217448406e-06,2.6494962037777267e-06,2.64587099722499e-06,0.0,0.0
transcription_TU_BSU01290,7.349152357209342e-08,7.350850766564072e-08,7.351126195473301e-08,7.352398766097194e-08,7.351126195473301e-08,7.391771751423698e-08,7.351126195473301e-08,7.351636100437596e-08,7.38995388163161e-08,7.367937140102291e-08,7.354054265411336e-08,0.0,0.0
translation_BSU01300,2.6466731423871383e-06,2.6447615739878068e-06,2.644961342856163e-06,2.6451459122268926e-06,2.644961342856163e-06,2.6583853254654267e-06,2.644961342856163e-06,2.6450872777111458e-06,2.6577026217448406e-06,2.6494962037777267e-06,2.64587099722499e-06,0.0,0.0
transcription_TU_BSU01300,7.349152357209342e-08,7.350850766564072e-08,7.351126195473301e-08,7.352398766097194e-08,7.351126195473301e-08,7.391771751423698e-08,7.351126195473301e-08,7.351636100437596e-08,7.38995388163161e-08,7.367937140102291e-08,7.354054265411336e-08,0.0,0.0
translation_BSU01310,2.6466731423871383e-06,2.6447615739878068e-06,2.644961342856163e-06,2.6451459122268926e-06,2.644961342856163e-06,2.6583853254654267e-06,2.644961342856163e-06,2.6450872777111458e-06,2.6577026217448406e-06,2.6494962037777267e-06,2.64587099722499e-06,0.0,0.0
transcription_TU_BSU01310,7.349152357209342e-08,7.350850766564072e-08,7.351126195473301e-08,7.352398766097194e-08,7.351126195473301e-08,7.391771751423698e-08,7.351126195473301e-08,7.351636100437596e-08,7.38995388163161e-08,7.367937140102291e-08,7.354054265411336e-08,0.0,0.0
translation_BSU01320,2.6466731423871383e-06,2.6447615739878068e-06,2.644961342856163e-06,2.6451459122268926e-06,2.644961342856163e-06,2.6583853254654267e-06,2.644961342856163e-06,2.6450872777111458e-06,2.6577026217448406e-06,2.6494962037777267e-06,2.64587099722499e-06,0.0,0.0
transcription_TU_BSU01320,7.349152357209342e-08,7.350850766564072e-08,7.351126195473301e-08,7.352398766097194e-08,7.351126195473301e-08,7.391771751423698e-08,7.351126195473301e-08,7.351636100437596e-08,7.38995388163161e-08,7.367937140102291e-08,7.354054265411336e-08,0.0,0.0
translation_BSU01330,2.6466731423871383e-06,2.6447615739878068e-06,2.644961342856163e-06,2.6451459122268926e-06,2.644961342856163e-06,2.6583853254654267e-06,2.644961342856163e-06,2.6450872777111458e-06,2.6577026217448406e-06,2.6494962037777267e-06,2.64587099722499e-06,0.0,0.0
transcription_TU_BSU01330,7.349152357209342e-08,7.350850766564072e-08,7.351126195473301e-08,7.352398766097194e-08,7.351126195473301e-08,7.391771751423698e-08,7.351126195473301e-08,7.351636100437596e-08,7.38995388163161e-08,7.367937140102291e-08,7.354054265411336e-08,0.0,0.0
