,base,ASNt2r_FWD_CPLX_dummy_s,ALAt2r_FWD_BSU27810-MONOMER_s,HISt2r_FWD_BSU39390-MONOMER_s,CITt15_FWD_BSU07610-MONOMER_s,LEUt2r_FWD_BSU29600-MONOMER_s,PYDX5Pt_s,CITt11_FWD_BSU07610-MONOMER_s,4FE4St_s,CBL1t_s,ASPt2r_FWD_CPLX_dummy_s,PSER_Lt6_FWD_CPLX_dummy_s,TYRt2r_REV_CPLX_dummy_s,METt3_FWD_CPLX_dummy_s,PHEt2r_REV_CPLX_dummy_s,THMPPt_s,CITt13_FWD_BSU07610-MONOMER_s
formation_BSU27270-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
formation_BSU23760-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
formation_BSU13560-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
formation_BSU37110-MONOMER,4.062675929249182e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
formation_BSU01020-MONOMER,3.5466361576149546e-06,2.6470965617543986e-06,2.6466565626409987e-06,2.646457018435592e-06,2.646656570733983e-06,2.6466585456471525e-06,2.6466883638473784e-06,2.6466566005515266e-06,2.6505740404391035e-06,2.645149136022353e-06,2.6462367739132727e-06,2.647096225178332e-06,2.646783032257838e-06,2.6463975020901605e-06,2.647569689634127e-06,0.0,0.0
formation_BSU21920-MONOMER,2.5656782145470328e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
formation_BSU15190-MONOMER,1.0368873946375001e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
formation_BSU30780-MONOMER,9.252546598421622e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
formation_BSU03990-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
formation_BSU27550-MONOMER,1.2097358645166092e-08,9.724719994029097e-09,9.723801519496948e-09,9.722539054469257e-09,9.72380154557853e-09,9.723807139017383e-09,9.72148146489626e-09,9.72380164287023e-09,9.731999358891869e-09,9.71169080763202e-09,9.718975007262463e-09,9.722728306747881e-09,9.724179978214535e-09,9.721934901504908e-09,9.726779795362415e-09,0.0,0.0
formation_BSU17000-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
formation_BSU08000-MONOMER,5.652190574675066e-10,4.736398492626715e-10,4.736662845194219e-10,4.736119111417576e-10,4.736662851630686e-10,4.736663345624057e-10,4.735356841765882e-10,4.736662875363419e-10,4.732674139688869e-10,4.728150163890302e-10,4.733372776827819e-10,4.735430624411655e-10,4.736543637084884e-10,4.735039345382557e-10,4.736881964252022e-10,0.0,0.0
formation_BSU22650-MONOMER,4.557955106154156e-08,1.0019791779614322e-08,1.0020509198016206e-08,1.0019541474224626e-08,1.0020509231052914e-08,1.0020519121997182e-08,2.1710171591927183e-08,1.0020509351428439e-08,1.0023231970783925e-08,1.0010302445775727e-08,1.0016853090476308e-08,2.1710076250261577e-08,1.002052836290213e-08,1.0019174197909552e-08,1.0021805281008207e-08,0.0,0.0
formation_BSU37190-MONOMER,2.2109237551586147e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
formation_BSU22660-MONOMER,9.568150856659814e-09,9.001966158122123e-09,9.002610700076391e-09,9.001741279132938e-09,9.00261072975718e-09,9.002619615964352e-09,1.9504819486885126e-08,9.002610837904777e-09,9.005056889463392e-09,8.993440765184125e-09,8.999325985476675e-09,1.9504733830170284e-08,9.002627918164182e-09,9.0014113113021e-09,9.003775124995463e-09,0.0,0.0
formation_BSU01270-MONOMER,3.5466361576149546e-06,2.6470965617543986e-06,2.6466565626409987e-06,2.646457018435592e-06,2.646656570733983e-06,2.6466585456471525e-06,2.6466883638473784e-06,2.6466566005515266e-06,2.6505740404391035e-06,2.645149136022353e-06,2.6462367739132727e-06,2.647096225178332e-06,2.646783032257838e-06,2.6463975020901605e-06,2.647569689634127e-06,0.0,0.0
formation_BSU16680-MONOMER,3.5466361576149546e-06,2.6470965617543986e-06,2.6466565626409987e-06,2.646457018435592e-06,2.646656570733983e-06,2.6466585456471525e-06,2.6466883638473784e-06,2.6466566005515266e-06,2.6505740404391035e-06,2.645149136022353e-06,2.6462367739132727e-06,2.647096225178332e-06,2.646783032257838e-06,2.6463975020901605e-06,2.647569689634127e-06,0.0,0.0
formation_BSU03860-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
formation_CPLX8J2-180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
formation_CPLX8J2-181,4.3687688968630774e-08,1.8031189154587108e-07,1.7364816459726806e-07,1.7363082710386742e-07,1.7364816472986228e-07,1.7364882305159017e-07,7.705103227928945e-08,1.736481652090267e-07,1.499469681878974e-07,1.7336324513332193e-07,2.2322966233993027e-07,7.704919486558673e-08,1.6819290020173414e-07,1.7359691369129436e-07,1.6609009341571267e-07,0.0,0.0
formation_BSU01210-MONOMER,3.5466361576149546e-06,2.6470965617543986e-06,2.6466565626409987e-06,2.646457018435592e-06,2.646656570733983e-06,2.6466585456471525e-06,2.6466883638473784e-06,2.6466566005515266e-06,2.6505740404391035e-06,2.645149136022353e-06,2.6462367739132727e-06,2.647096225178332e-06,2.646783032257838e-06,2.6463975020901605e-06,2.647569689634127e-06,0.0,0.0
formation_BSU23490-MONOMER,9.763836755683161e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
formation_BSU00550-MONOMER,3.803054433497209e-11,2.4328220335771967e-11,2.432261030648312e-11,2.432021584376079e-11,2.432261038602659e-11,2.4322629984833523e-11,2.4319546965207436e-11,2.4322610677997637e-11,2.4346410013551478e-11,2.4292646628411606e-11,2.4314043977698105e-11,2.4324135007212694e-11,2.4323072601217558e-11,2.431608193724225e-11,2.4331237207255183e-11,0.0,0.0
formation_BSU16530-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
formation_BSU39050-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
formation_BSU00460-MONOMER,8.23348006421068e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
formation_BSU22060-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
formation_BSU02420-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
formation_BSU25310-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
formation_BSU33940-MONOMER,1.3545450917490083e-06,9.826875075138968e-07,9.82753525824463e-07,9.827313767599785e-07,9.827535291305733e-07,9.827549076410165e-07,9.826364103363183e-07,9.827535408624127e-07,9.820047938086393e-07,9.821967910878778e-07,9.825222361310952e-07,9.825937258921308e-07,9.827313322605597e-07,9.826677230476465e-07,9.826795650252077e-07,0.0,0.0
formation_BSU39390-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
formation_BSU07610-MONOMER,1.1318928727507854e-12,1.9457578681098427e-12,1.8890412617608286e-12,1.890436307090059e-12,1.8890413295125923e-12,1.8890506472641667e-12,1.8798112700977438e-12,1.889041567517635e-12,1.870249595816853e-12,1.8091075141067888e-12,1.8685416435657148e-12,1.8845075613532145e-12,1.8890634838734415e-12,1.8501869515944666e-12,1.902664333586804e-12,0.0,0.0
formation_BSU15600-MONOMER,7.402530544467402e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
formation_BSU00760-MONOMER,1.5018709557020437e-11,1.7152899240308233e-11,1.7155547769634876e-11,1.7153862318225025e-11,1.7155547769634876e-11,1.7155547769634876e-11,1.7149769423796344e-11,1.7155547769634876e-11,1.7125944035271577e-11,1.7125703459269062e-11,1.714302925045801e-11,1.714856572425372e-11,1.7154584644405014e-11,1.7150250915441665e-11,1.71531400072528e-11,0.0,0.0
formation_BSU31580-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
formation_BSU06510-MONOMER,2.1939091745376634e-08,4.465492991370177e-08,4.465669028433305e-08,4.465122328543244e-08,4.4656690332598546e-08,4.465703621265625e-08,4.465832355006193e-08,4.465669051994395e-08,4.461911007836793e-08,4.45760464482467e-08,4.4614895920376924e-08,4.465552250201046e-08,4.465441805286384e-08,4.464086835978368e-08,4.466128083874355e-08,0.0,0.0
formation_BSU40550-MONOMER,8.968073043610024e-06,1.2236597018742893e-05,1.2125382669839577e-05,1.2134087463519764e-05,1.2125383084563142e-05,1.212544624478242e-05,1.2105305406968412e-05,1.2125384543103938e-05,1.2044496844532735e-05,1.1966662088234707e-05,1.2014258804556465e-05,1.2099956727458516e-05,1.2126015692888592e-05,1.2031096100918758e-05,1.2204665133135606e-05,0.0,0.0
formation_BSU14600-MONOMER,1.3868303180987243e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
formation_BSU11710-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
formation_BSU26810-MONOMER,4.502192479579693e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
formation_BSU31970-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
formation_BSU15080-MONOMER,3.5466361576149546e-06,2.6470965617543986e-06,2.6466565626409987e-06,2.646457018435592e-06,2.646656570733983e-06,2.6466585456471525e-06,2.6466883638473784e-06,2.6466566005515266e-06,2.6505740404391035e-06,2.645149136022353e-06,2.6462367739132727e-06,2.647096225178332e-06,2.646783032257838e-06,2.6463975020901605e-06,2.647569689634127e-06,0.0,0.0
formation_BSU13600-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
formation_BSU32480-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
formation_BSU23580-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
formation_BSU28080-MONOMER,1.1443639856596915e-11,1.3069804743033097e-11,1.3071822813603585e-11,1.3070538568851603e-11,1.3071822813603585e-11,1.3071822813603585e-11,1.3067419951394155e-11,1.3071822813603585e-11,1.3049265983858809e-11,1.3049082674825469e-11,1.3062284216132608e-11,1.3066502781779213e-11,1.3071088951734462e-11,1.3067786828252787e-11,1.306998819755644e-11,0.0,0.0
formation_BSU15820-MONOMER,3.5466361576149546e-06,2.6470965617543986e-06,2.6466565626409987e-06,2.646457018435592e-06,2.646656570733983e-06,2.6466585456471525e-06,2.6466883638473784e-06,2.6466566005515266e-06,2.6505740404391035e-06,2.645149136022353e-06,2.6462367739132727e-06,2.647096225178332e-06,2.646783032257838e-06,2.6463975020901605e-06,2.647569689634127e-06,0.0,0.0
formation_BSU13620-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
formation_BSU32820-MONOMER,1.561483637535868e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
formation_BSU16600-MONOMER,3.803054433497209e-11,2.4328220335771967e-11,2.432261030648312e-11,2.432021584376079e-11,2.432261038602659e-11,2.4322629984833523e-11,2.4319546965207436e-11,2.4322610677997637e-11,2.4346410013551478e-11,2.4292646628411606e-11,2.4314043977698105e-11,2.4324135007212694e-11,2.4323072601217558e-11,2.431608193724225e-11,2.4331237207255183e-11,0.0,0.0
formation_BSU39920-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
formation_BSU37080-MONOMER,2.379768545287741e-12,3.165193229283809e-12,3.163190949061743e-12,3.1630902824806105e-12,3.1631909640664387e-12,3.1631948871915553e-12,3.162867002297176e-12,3.163191018135302e-12,3.1685489806997147e-12,3.159032679013728e-12,3.1622571600813157e-12,3.1630189181977345e-12,3.163202121325086e-12,3.1615959863932835e-12,3.1653912008573214e-12,0.0,0.0
formation_BSU33500-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
formation_BSU28870-MONOMER,8.674129773938058e-10,4.809871542308223e-10,4.808664688840527e-10,4.808292969972637e-10,4.808664708303963e-10,4.808669805952722e-10,4.808138652307834e-10,4.808664778668603e-10,4.810488082333951e-10,4.801722721815057e-10,4.807145330542898e-10,4.808989728952814e-10,4.80874762172958e-10,4.806895519663797e-10,4.810148249360639e-10,0.0,0.0
formation_BSU28790-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
formation_BSU03220-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
formation_BSU21810-MONOMER,2.994539240079569e-09,1.8534238348569726e-11,1.8537100166454005e-11,1.8535278984056937e-11,1.8537100166454005e-11,1.8537100166454005e-11,1.8530856484990513e-11,1.8537100166454005e-11,1.8505112415519878e-11,1.850485246570562e-11,1.852357351915406e-11,5.298849260065417e-11,1.8536059479843555e-11,1.853137675161088e-11,1.8534498504702782e-11,0.0,0.0
formation_BSU38020-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
formation_BSU38240-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
formation_BSU17680-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
formation_BSU01050-MONOMER,3.5466361576149546e-06,2.6470965617543986e-06,2.6466565626409987e-06,2.646457018435592e-06,2.646656570733983e-06,2.6466585456471525e-06,2.6466883638473784e-06,2.6466566005515266e-06,2.6505740404391035e-06,2.645149136022353e-06,2.6462367739132727e-06,2.647096225178332e-06,2.646783032257838e-06,2.6463975020901605e-06,2.647569689634127e-06,0.0,0.0
formation_BSU37120-MONOMER,5.675240586879918e-07,5.83794161367817e-07,5.838341332008939e-07,5.838259760840289e-07,5.838341353089645e-07,5.838350951431861e-07,5.837731929246369e-07,5.838341427814833e-07,5.833910703092048e-07,5.835668814828535e-07,5.837199081684673e-07,5.8374496923011e-07,5.838210258760248e-07,5.837954696170724e-07,5.837843140409555e-07,0.0,0.0
formation_BSU22710-MONOMER,4.7511064186042517e-08,9.332823802810296e-08,9.333332304265708e-08,9.332655592493695e-08,9.333332318506247e-08,9.333351166768352e-08,9.330872915430074e-08,9.333332373210271e-08,9.328095506583093e-08,9.320819218681793e-08,9.328311292691031e-08,9.330953058907591e-08,9.333165522533849e-08,9.331413244490559e-08,9.33361117664828e-08,0.0,0.0
formation_BSU08790-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
formation_BSU12390-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
formation_BSU16490-MONOMER,3.5466361576149546e-06,2.6470965617543986e-06,2.6466565626409987e-06,2.646457018435592e-06,2.646656570733983e-06,2.6466585456471525e-06,2.6466883638473784e-06,2.6466566005515266e-06,2.6505740404391035e-06,2.645149136022353e-06,2.6462367739132727e-06,2.647096225178332e-06,2.646783032257838e-06,2.6463975020901605e-06,2.647569689634127e-06,0.0,0.0
formation_CPLX8J2-11,8.27967715078867e-09,7.549808700268291e-09,7.549620211959261e-09,7.548896734630708e-09,7.549620237640688e-09,7.549627300732032e-09,7.547572350776092e-09,7.549620331240988e-09,7.552878840273804e-09,7.541698517014571e-09,7.547264323683138e-09,7.548209664839194e-09,7.549688488883065e-09,7.548447040174306e-09,7.550970627612215e-09,0.0,0.0
formation_BSU35300-MONOMER,8.1809154413535e-08,2.2879111003567266e-07,2.2886317897410723e-07,2.2882437396034874e-07,2.2886317929340032e-07,2.288632536376413e-07,2.288195729680969e-07,2.2886318056559685e-07,2.288869722625768e-07,2.28808389295544e-07,2.286744941313401e-07,2.2882281635898355e-07,2.288704433198451e-07,2.289403951225581e-07,2.2886282384034623e-07,0.0,0.0
formation_BSU30960-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
formation_BSU29750-MONOMER,1.7829198843908402e-08,3.502274137743879e-08,3.502464960107392e-08,3.502211014443367e-08,3.502464965451355e-08,3.502472038528304e-08,3.501542039660624e-08,3.502464985979814e-08,3.500499777706445e-08,3.4977692477538883e-08,3.5005807544955796e-08,3.5015721146341314e-08,3.502402372903509e-08,3.501744805783117e-08,3.502569610913391e-08,0.0,0.0
formation_BSU39060-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
formation_BSU29120-MONOMER,3.833949588888684e-07,2.45245536158796e-07,2.439792807461802e-07,2.440027887196894e-07,2.439792824255673e-07,2.439799069910584e-07,2.863639039600986e-07,2.4397928833572813e-07,2.470585006569298e-07,2.442143821502169e-07,2.1586476529083956e-07,2.863379004209697e-07,2.439765500017269e-07,2.440298943829284e-07,2.4393198428335405e-07,0.0,0.0
formation_BSU17710-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
formation_BSU07990-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
formation_BSU15920-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
formation_BSU00180-MONOMER,9.651453515466066e-11,2.6479588403261486e-11,2.6477230878300344e-11,2.6473934066919593e-11,2.64772309592628e-11,2.6477250716352816e-11,2.6473089547953305e-11,2.6477231257558387e-11,2.649353310220306e-11,2.6439123339392075e-11,2.646337076178899e-11,2.6476239918072422e-11,2.6477752812426053e-11,2.6470551830080154e-11,2.6484507096396364e-11,0.0,0.0
formation_BSU06430-MONOMER,8.59908456879795e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
formation_BSU15720-MONOMER,8.674129773938058e-10,4.809871542308223e-10,4.808664688840527e-10,4.808292969972637e-10,4.808664708303963e-10,4.808669805952722e-10,4.808138652307834e-10,4.808664778668603e-10,4.810488082333951e-10,4.801722721815057e-10,4.807145330542898e-10,4.808989728952814e-10,4.80874762172958e-10,4.806895519663797e-10,4.810148249360639e-10,0.0,0.0
formation_BSU24160-MONOMER,5.8998058221656595e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
formation_BSU01100-MONOMER,3.5466361576149546e-06,2.6470965617543986e-06,2.6466565626409987e-06,2.646457018435592e-06,2.646656570733983e-06,2.6466585456471525e-06,2.6466883638473784e-06,2.6466566005515266e-06,2.6505740404391035e-06,2.645149136022353e-06,2.6462367739132727e-06,2.647096225178332e-06,2.646783032257838e-06,2.6463975020901605e-06,2.647569689634127e-06,0.0,0.0
formation_BSU38190-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
formation_BSU03050-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
formation_BSU22600-MONOMER,4.557955106154156e-08,8.953407513728758e-08,8.953895342583973e-08,8.953246141828425e-08,8.953895356245576e-08,8.9539134382511e-08,8.951535937655154e-08,8.953895408725665e-08,8.948871441489292e-08,8.941890963539205e-08,8.949078455036424e-08,8.951612822982568e-08,8.953735341190745e-08,8.952054300197108e-08,8.954162877698558e-08,0.0,0.0
formation_BSU28470-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
formation_BSU13110-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
formation_BSU15730-MONOMER,8.674129773938058e-10,4.809871542308223e-10,4.808664688840527e-10,4.808292969972637e-10,4.808664708303963e-10,4.808669805952722e-10,4.808138652307834e-10,4.808664778668603e-10,4.810488082333951e-10,4.801722721815057e-10,4.807145330542898e-10,4.808989728952814e-10,4.80874762172958e-10,4.806895519663797e-10,4.810148249360639e-10,0.0,0.0
formation_BSU29680-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
formation_BSU34790-MONOMER,1.3769950710386294e-08,1.0558909996917882e-09,1.0555577967608827e-09,1.0554719326034558e-09,1.055557800982153e-09,1.0555588886927846e-09,2.3642402170240244e-09,1.0555578162777663e-09,1.056445184960302e-09,1.2055430312657535e-08,1.0552143148803698e-09,1.0557737888388625e-09,1.0555768296689296e-09,5.8918047444287935e-09,1.0559778054664597e-09,0.0,0.0
formation_BSU15220-MONOMER,9.496704289067075e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
formation_BSU24150-MONOMER,5.8998058221656595e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
formation_BSU16510-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
formation_BSU16960-MONOMER,2.5449450750018364e-11,1.3492048636353627e-11,1.3487906579801264e-11,1.3487366729944249e-11,1.348790663405254e-11,1.3487921302184528e-11,1.3488188602588846e-11,1.348790683023719e-11,1.3502105805662141e-11,1.3477593387713888e-11,1.3487408917250203e-11,1.3490922680353311e-11,1.3488432426503582e-11,1.348460807537047e-11,1.3492783894211661e-11,0.0,0.0
formation_BSU01190-MONOMER,3.5466361576149546e-06,2.6470965617543986e-06,2.6466565626409987e-06,2.646457018435592e-06,2.646656570733983e-06,2.6466585456471525e-06,2.6466883638473784e-06,2.6466566005515266e-06,2.6505740404391035e-06,2.645149136022353e-06,2.6462367739132727e-06,2.647096225178332e-06,2.646783032257838e-06,2.6463975020901605e-06,2.647569689634127e-06,0.0,0.0
formation_BSU18220-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
formation_BSU21690-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
formation_BSU00140-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
formation_BSU33930-MONOMER,1.3545450917490083e-06,8.694717695119861e-07,8.695301818321481e-07,8.695105845683762e-07,8.695301847573604e-07,8.695314044491802e-07,8.694265592563692e-07,8.695301951375708e-07,8.688677114682626e-07,8.690375886803412e-07,8.693255390973777e-07,8.693887925004731e-07,8.695105451957492e-07,8.694542644203388e-07,8.694647420799266e-07,0.0,0.0
formation_BSU40330-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
formation_BSU11670-MONOMER,2.976672198770432e-09,1.5214335746043213e-09,1.5207536834301412e-09,1.520644437239745e-09,1.5207536840789291e-09,1.5209990038553192e-09,1.519322247989479e-09,1.5207536812557892e-09,1.514320326799995e-09,1.5151318686799843e-09,1.519721095232497e-09,1.5188623164349906e-09,1.51998183110569e-09,1.5190374301657946e-09,1.5202039862571746e-09,0.0,0.0
formation_BSU32000-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
formation_BSU10120-MONOMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
formation_BSU28090-MONOMER,1.7186772858727773e-08,1.257178171506991e-08,1.2569992247078472e-08,1.2568644613167456e-08,1.2569992288049848e-08,1.2570002370399804e-08,1.2568102964764154e-08,1.256999243836375e-08,1.258224592803497e-08,1.2553554168543405e-08,1.2565280899777808e-08,1.2569361931651637e-08,1.257024836352653e-08,1.2566763295563642e-08,1.2573966347173614e-08,0.0,0.0
formation_BSU00780-MONOMER,6.239768375629952e-12,7.126452364212046e-12,7.1275527390126615e-12,7.126852490674685e-12,7.1275527390126615e-12,7.1275527390126615e-12,7.1251520307833804e-12,7.1275527390126615e-12,7.115253383679945e-12,7.115153432447336e-12,7.122351715597637e-12,7.124651934133178e-12,7.127152592893034e-12,7.12535207435771e-12,7.126552394774652e-12,0.0,0.0
formation_BSU36900-MONOMER,7.075798563635223e-08,8.244158748352254e-08,8.244261795465229e-08,8.243292800394016e-08,8.244261805455527e-08,8.244364389421965e-08,8.243343399972743e-08,8.244261841809665e-08,8.23678286424704e-08,1.1153812504875517e-07,8.237612735382894e-08,8.249573501248452e-08,8.243747479396146e-08,9.52694892383105e-08,8.244776465660139e-08,0.0,0.0
