,name,subsystem,reaction,complex
transcription_TU8J2_1011_from_BSU25200-MONOMER,,,4.27350427350427e-6*mu BSU00550-MONOMER + 4.27350427350427e-6*mu BSU01010-MONOMER + 4.27350427350427e-6*mu BSU16600-MONOMER + 4.27350427350427e-6*mu BSU27320-MONOMER + 4.27350427350427e-6*mu BSU37080-MONOMER + 4.27350427350427e-6*mu CPLX8J2-30 + 0.00318272998394127*mu + 0.00124603878871301 CPLX8J2-52 + 165.0 atp_c + 155 ctp_c + 141 gtp_c + 3.0 h2o_c + 208 utp_c --> RNA_BSU07830 + 3.0 adp_c + 3.0 h_c + 212.31964804600003 mRNA_biomass + 3.0 pi_c + 666 ppi_c,
transcription_TU8J2_692_from_BSU25200-MONOMER,,,4.27350427350427e-6*mu BSU00550-MONOMER + 4.27350427350427e-6*mu BSU01010-MONOMER + 4.27350427350427e-6*mu BSU16600-MONOMER + 4.27350427350427e-6*mu BSU27320-MONOMER + 4.27350427350427e-6*mu BSU37080-MONOMER + 4.27350427350427e-6*mu CPLX8J2-30 + 0.00441567943717978*mu + 0.00172873849965588 CPLX8J2-52 + 223.0 atp_c + 243 ctp_c + 183 gtp_c + 3.0 h2o_c + 278 utp_c --> RNA_BSU23840 + 3.0 adp_c + 3.0 h_c + 293.939737704 mRNA_biomass + 3.0 pi_c + 924 ppi_c,
transcription_TU8J2_468_from_BSU25200-MONOMER,,,4.27350427350427e-6*mu BSU00550-MONOMER + 4.27350427350427e-6*mu BSU01010-MONOMER + 4.27350427350427e-6*mu BSU16600-MONOMER + 4.27350427350427e-6*mu BSU27320-MONOMER + 4.27350427350427e-6*mu BSU37080-MONOMER + 4.27350427350427e-6*mu CPLX8J2-30 + 0.0297676052101654*mu + 0.0116540174397798 CPLX8J2-52 + 1574.0 atp_c + 1460 ctp_c + 1567 gtp_c + 3.0 h2o_c + 1631 utp_c --> RNA_BSU32430 + RNA_BSU32440 + RNA_BSU32450 + RNA_BSU32460 + 3.0 adp_c + 3.0 h_c + 1434.3514134929999 mRNA_biomass + 3.0 pi_c + 6229 ppi_c,
transcription_TU8J2_2948_from_BSU25200-MONOMER,,,4.27350427350427e-6*mu BSU00550-MONOMER + 4.27350427350427e-6*mu BSU01010-MONOMER + 4.27350427350427e-6*mu BSU16600-MONOMER + 4.27350427350427e-6*mu BSU27320-MONOMER + 4.27350427350427e-6*mu BSU37080-MONOMER + 4.27350427350427e-6*mu CPLX8J2-30 + 0.0170462430220999*mu + 0.0066736041431521 CPLX8J2-52 + 921.0 atp_c + 910 ctp_c + 662 gtp_c + 3.0 h2o_c + 1077 utp_c --> RNA_BSU12010 + RNA_BSU12020 + 3.0 adp_c + 3.0 h_c + 923.8442293410001 mRNA_biomass + 3.0 pi_c + 3567 ppi_c,
transcription_TU8J2_799_from_BSU25200-MONOMER,,,4.27350427350427e-6*mu BSU00550-MONOMER + 4.27350427350427e-6*mu BSU01010-MONOMER + 4.27350427350427e-6*mu BSU16600-MONOMER + 4.27350427350427e-6*mu BSU27320-MONOMER + 4.27350427350427e-6*mu BSU37080-MONOMER + 4.27350427350427e-6*mu CPLX8J2-30 + 0.00957686319492238*mu + 0.00374934194081211 CPLX8J2-52 + 524.0 atp_c + 480 ctp_c + 427 gtp_c + 3.0 h2o_c + 576 utp_c --> RNA_BSU17890 + 3.0 adp_c + 3.0 h_c + 639.737676364 mRNA_biomass + 3.0 pi_c + 2004 ppi_c,
transcription_TU8J2_1137_from_BSU25200-MONOMER,,,4.27350427350427e-6*mu BSU00550-MONOMER + 4.27350427350427e-6*mu BSU01010-MONOMER + 4.27350427350427e-6*mu BSU16600-MONOMER + 4.27350427350427e-6*mu BSU27320-MONOMER + 4.27350427350427e-6*mu BSU37080-MONOMER + 4.27350427350427e-6*mu CPLX8J2-30 + 0.00550526267492544*mu + 0.00215531033723331 CPLX8J2-52 + 243.0 atp_c + 294 ctp_c + 296 gtp_c + 3.0 h2o_c + 322 utp_c --> RNA_BSU03010 + 3.0 adp_c + 3.0 h_c + 368.337797072 mRNA_biomass + 3.0 pi_c + 1152 ppi_c,
transcription_TU8J2_267_from_BSU25200-MONOMER,,,4.27350427350427e-6*mu BSU00550-MONOMER + 4.27350427350427e-6*mu BSU01010-MONOMER + 4.27350427350427e-6*mu BSU16600-MONOMER + 4.27350427350427e-6*mu BSU27320-MONOMER + 4.27350427350427e-6*mu BSU37080-MONOMER + 4.27350427350427e-6*mu CPLX8J2-30 + 0.0206065040401723*mu + 0.00806744633172746 CPLX8J2-52 + 1065.0 atp_c + 1106 ctp_c + 911 gtp_c + 3.0 h2o_c + 1233 utp_c --> RNA_BSU39400 + RNA_BSU39410 + RNA_BSU39420 + 3.0 adp_c + 3.0 h_c + 1006.369854996 mRNA_biomass + 3.0 pi_c + 4312 ppi_c,
transcription_TU8J2_121_from_BSU25200-MONOMER,,,4.27350427350427e-6*mu BSU00550-MONOMER + 4.27350427350427e-6*mu BSU01010-MONOMER + 4.27350427350427e-6*mu BSU16600-MONOMER + 4.27350427350427e-6*mu BSU27320-MONOMER + 4.27350427350427e-6*mu BSU37080-MONOMER + 4.27350427350427e-6*mu CPLX8J2-30 + 0.0214523647115801*mu + 0.00839860078458362 CPLX8J2-52 + 1350.0 atp_c + 880 ctp_c + 688 gtp_c + 3.0 h2o_c + 1574 utp_c --> RNA_BSU10520 + 3.0 adp_c + 3.0 h_c + 385.27178660600003 mRNA_biomass + 3.0 pi_c + 4489 ppi_c,
transcription_TU8J2_319_from_BSU25200-MONOMER,,,4.27350427350427e-6*mu BSU00550-MONOMER + 4.27350427350427e-6*mu BSU01010-MONOMER + 4.27350427350427e-6*mu BSU16600-MONOMER + 4.27350427350427e-6*mu BSU27320-MONOMER + 4.27350427350427e-6*mu BSU37080-MONOMER + 4.27350427350427e-6*mu CPLX8J2-30 + 0.0129889791236522*mu + 0.00508518532690984 CPLX8J2-52 + 615.0 atp_c + 705 ctp_c + 587 gtp_c + 3.0 h2o_c + 814 utp_c --> RNA_BSU38190 + RNA_BSU38200 + 3.0 adp_c + 3.0 h_c + 864.764336395 mRNA_biomass + 3.0 pi_c + 2718 ppi_c,
transcription_TU8J2_1305_from_BSU25200-MONOMER,,,4.27350427350427e-6*mu BSU00550-MONOMER + 4.27350427350427e-6*mu BSU01010-MONOMER + 4.27350427350427e-6*mu BSU16600-MONOMER + 4.27350427350427e-6*mu BSU27320-MONOMER + 4.27350427350427e-6*mu CPLX8J2-30 + 0.00538101195483164*mu + 0.00210666618031659 CPLX8J2-52 + 265 atp_c + 242 ctp_c + 234 gtp_c + 385 utp_c --> RNA_BSU28850 + RNA_BSU28860 + RNA_BSU28870 + 345.105944063 mRNA_biomass + 1126 ppi_c,
transcription_TU8J2_982_from_BSU25200-MONOMER,,,4.27350427350427e-6*mu BSU00550-MONOMER + 4.27350427350427e-6*mu BSU01010-MONOMER + 4.27350427350427e-6*mu BSU16600-MONOMER + 4.27350427350427e-6*mu BSU27320-MONOMER + 4.27350427350427e-6*mu BSU37080-MONOMER + 4.27350427350427e-6*mu CPLX8J2-30 + 0.00467373862506691*mu + 0.0018297686717137 CPLX8J2-52 + 242.0 atp_c + 223 ctp_c + 188 gtp_c + 3.0 h2o_c + 328 utp_c --> RNA_BSU08440 + 3.0 adp_c + 3.0 h_c + 311.07092375799994 mRNA_biomass + 3.0 pi_c + 978 ppi_c,
transcription_TU8J2_41_from_BSU25200-MONOMER,,,4.27350427350427e-6*mu BSU00550-MONOMER + 4.27350427350427e-6*mu BSU01010-MONOMER + 4.27350427350427e-6*mu BSU16600-MONOMER + 4.27350427350427e-6*mu BSU27320-MONOMER + 4.27350427350427e-6*mu BSU37080-MONOMER + 4.27350427350427e-6*mu CPLX8J2-30 + 0.0114454028701792*mu + 0.00448087522367515 CPLX8J2-52 + 534.0 atp_c + 705 ctp_c + 508 gtp_c + 3.0 h2o_c + 651 utp_c --> RNA_BSU36640 + RNA_BSU36650 + RNA_BSU36660 + 3.0 adp_c + 3.0 h_c + 764.710868003 mRNA_biomass + 3.0 pi_c + 2395 ppi_c,
transcription_TU8J2_304_from_BSU25200-MONOMER,,,4.27350427350427e-6*mu BSU00550-MONOMER + 4.27350427350427e-6*mu BSU01010-MONOMER + 4.27350427350427e-6*mu BSU16600-MONOMER + 4.27350427350427e-6*mu BSU27320-MONOMER + 4.27350427350427e-6*mu BSU37080-MONOMER + 4.27350427350427e-6*mu CPLX8J2-30 + 0.0160522372613494*mu + 0.00628445088781831 CPLX8J2-52 + 784.0 atp_c + 890 ctp_c + 778 gtp_c + 3.0 h2o_c + 910 utp_c --> RNA_BSU38560 + RNA_BSU38570 + RNA_BSU38580 + RNA_BSU38590 + 3.0 adp_c + 3.0 h_c + 1063.4542310900001 mRNA_biomass + 3.0 pi_c + 3359 ppi_c,
transcription_TU8J2_535_from_BSU25200-MONOMER,,,4.27350427350427e-6*mu BSU00550-MONOMER + 4.27350427350427e-6*mu BSU01010-MONOMER + 4.27350427350427e-6*mu BSU16600-MONOMER + 4.27350427350427e-6*mu BSU27320-MONOMER + 4.27350427350427e-6*mu BSU37080-MONOMER + 4.27350427350427e-6*mu CPLX8J2-30 + 0.00620775713084041*mu + 0.00243033691672402 CPLX8J2-52 + 385.0 atp_c + 316 ctp_c + 314 gtp_c + 3.0 h2o_c + 287 utp_c --> RNA_BSU29990 + 3.0 adp_c + 3.0 h_c + 417.148746919 mRNA_biomass + 3.0 pi_c + 1299 ppi_c,
transcription_TU8J2_1181_from_BSU15330-MONOMER,,,4.27350427350427e-6*mu BSU00550-MONOMER + 4.27350427350427e-6*mu BSU01010-MONOMER + 4.27350427350427e-6*mu BSU16600-MONOMER + 4.27350427350427e-6*mu BSU27320-MONOMER + 4.27350427350427e-6*mu BSU37080-MONOMER + 4.27350427350427e-6*mu CPLX8J2-30 + 0.00581588947515995*mu + 0.00227692072952512 CPLX8J2-60 + 314.0 atp_c + 293 ctp_c + 221 gtp_c + 3.0 h2o_c + 392 utp_c --> RNA_BSU01530 + 3.0 adp_c + 3.0 h_c + 227.020598634 mRNA_biomass + 3.0 pi_c + 1217 ppi_c,
transcription_TU8J2_520_from_BSU25200-MONOMER,,,4.27350427350427e-6*mu BSU00550-MONOMER + 4.27350427350427e-6*mu BSU01010-MONOMER + 4.27350427350427e-6*mu BSU16600-MONOMER + 4.27350427350427e-6*mu BSU27320-MONOMER + 4.27350427350427e-6*mu BSU37080-MONOMER + 4.27350427350427e-6*mu CPLX8J2-30 + 0.00574898524126329*mu + 0.00225072772195458 CPLX8J2-52 + 296.0 atp_c + 292 ctp_c + 261 gtp_c + 3.0 h2o_c + 357 utp_c --> RNA_BSU30550 + 3.0 adp_c + 3.0 h_c + 383.75756762299994 mRNA_biomass + 3.0 pi_c + 1203 ppi_c,
transcription_TU8J2_953_from_BSU25200-MONOMER,,,4.27350427350427e-6*mu BSU00550-MONOMER + 4.27350427350427e-6*mu BSU01010-MONOMER + 4.27350427350427e-6*mu BSU16600-MONOMER + 4.27350427350427e-6*mu BSU27320-MONOMER + 4.27350427350427e-6*mu CPLX8J2-30 + 0.00797116158140246*mu + 0.00312070975911906 CPLX8J2-52 + 374 atp_c + 426 ctp_c + 332 gtp_c + 536 utp_c --> RNA_BSU09300 + 530.162136428 mRNA_biomass + 1668 ppi_c,
transcription_TU8J2_1050_from_BSU25200-MONOMER,,,4.27350427350427e-6*mu BSU00550-MONOMER + 4.27350427350427e-6*mu BSU01010-MONOMER + 4.27350427350427e-6*mu BSU16600-MONOMER + 4.27350427350427e-6*mu BSU27320-MONOMER + 4.27350427350427e-6*mu BSU37080-MONOMER + 4.27350427350427e-6*mu CPLX8J2-30 + 0.00679555861436109*mu + 0.00266046119752237 CPLX8J2-52 + 440.0 atp_c + 376 ctp_c + 276 gtp_c + 3.0 h2o_c + 333 utp_c --> RNA_BSU06230 + 3.0 adp_c + 3.0 h_c + 454.40780460199994 mRNA_biomass + 3.0 pi_c + 1422 ppi_c,
transcription_TU8J2_708_from_BSU25200-MONOMER,,,4.27350427350427e-6*mu BSU00550-MONOMER + 4.27350427350427e-6*mu BSU01010-MONOMER + 4.27350427350427e-6*mu BSU16600-MONOMER + 4.27350427350427e-6*mu BSU27320-MONOMER + 4.27350427350427e-6*mu BSU37080-MONOMER + 4.27350427350427e-6*mu CPLX8J2-30 + 0.00961987305957024*mu + 0.00376618030282175 CPLX8J2-52 + 514.0 atp_c + 511 ctp_c + 427 gtp_c + 3.0 h2o_c + 564 utp_c --> RNA_BSU23490 + RNA_BSU23500 + 3.0 adp_c + 3.0 h_c + 638.395960581 mRNA_biomass + 3.0 pi_c + 2013 ppi_c,
transcription_TU8J2_506_from_BSU25200-MONOMER,,,4.27350427350427e-6*mu BSU00550-MONOMER + 4.27350427350427e-6*mu BSU01010-MONOMER + 4.27350427350427e-6*mu BSU16600-MONOMER + 4.27350427350427e-6*mu BSU27320-MONOMER + 4.27350427350427e-6*mu BSU37080-MONOMER + 4.27350427350427e-6*mu CPLX8J2-30 + 0.0323147449720884*mu + 0.0126512226565726 CPLX8J2-52 + 0.000205128205128205*mu RNA_degradosome + 1611.0 atp_c + 2014 ctp_c + 1583 gtp_c + 648.0 h2o_c + 0.000205128205128205*mu rRNA_containing_excision_machinery + 1686 utp_c --> RNA_BSU_rRNA_19 + RNA_BSU_rRNA_20 + RNA_BSU_rRNA_21 + RNA_BSU_tRNA_52 + RNA_BSU_tRNA_53 + RNA_BSU_tRNA_54 + RNA_BSU_tRNA_55 + RNA_BSU_tRNA_56 + RNA_BSU_tRNA_57 + RNA_BSU_tRNA_58 + RNA_BSU_tRNA_59 + RNA_BSU_tRNA_60 + RNA_BSU_tRNA_61 + RNA_BSU_tRNA_62 + RNA_BSU_tRNA_63 + RNA_BSU_tRNA_64 + RNA_BSU_tRNA_65 + RNA_BSU_tRNA_66 + RNA_BSU_tRNA_67 + RNA_BSU_tRNA_68 + RNA_BSU_tRNA_69 + RNA_BSU_tRNA_70 + RNA_BSU_tRNA_71 + RNA_BSU_tRNA_72 + 132.0 adp_c + 212 amp_c + 58 cmp_c + 76 gmp_c + 648.0 h_c + 132.0 pi_c + 6762 ppi_c + 1464.797062641 rRNA_biomass + 527.317885165 tRNA_biomass + 170 ump_c,
transcription_TU8J2_126_from_BSU25200-MONOMER,,,4.27350427350427e-6*mu BSU00550-MONOMER + 4.27350427350427e-6*mu BSU01010-MONOMER + 4.27350427350427e-6*mu BSU16600-MONOMER + 4.27350427350427e-6*mu BSU27320-MONOMER + 4.27350427350427e-6*mu CPLX8J2-30 + 0.00474542173281334*mu + 0.00185783260839642 CPLX8J2-52 + 227 atp_c + 240 ctp_c + 210 gtp_c + 316 utp_c --> RNA_BSU11420 + 316.2139399530001 mRNA_biomass + 993 ppi_c,
transcription_TU8J2_364_from_BSU25200-MONOMER,,,4.27350427350427e-6*mu BSU00550-MONOMER + 4.27350427350427e-6*mu BSU01010-MONOMER + 4.27350427350427e-6*mu BSU16600-MONOMER + 4.27350427350427e-6*mu BSU27320-MONOMER + 4.27350427350427e-6*mu BSU37080-MONOMER + 4.27350427350427e-6*mu CPLX8J2-30 + 0.000960553643802095*mu + 0.00037605675154852 CPLX8J2-52 + 56.0 atp_c + 42 ctp_c + 38 gtp_c + 3.0 h2o_c + 68 utp_c --> RNA_BSU37070 + 3.0 adp_c + 3.0 h_c + 64.000022081 mRNA_biomass + 3.0 pi_c + 201 ppi_c,
transcription_TU8J2_822_from_BSU16470-MONOMER,,,4.27350427350427e-6*mu BSU00550-MONOMER + 4.27350427350427e-6*mu BSU01010-MONOMER + 4.27350427350427e-6*mu BSU16600-MONOMER + 4.27350427350427e-6*mu BSU27320-MONOMER + 4.27350427350427e-6*mu BSU37080-MONOMER + 4.27350427350427e-6*mu CPLX8J2-30 + 0.126697503504881*mu + 0.049602072622161 CPLX8J2-54 + 7011.0 atp_c + 6192 ctp_c + 4798 gtp_c + 3.0 h2o_c + 8514 utp_c --> RNA_BSU16470 + 3.0 adp_c + 3.0 h_c + 243.30892228499997 mRNA_biomass + 3.0 pi_c + 26512 ppi_c,
transcription_TU8J2_591_from_BSU25200-MONOMER,,,4.27350427350427e-6*mu BSU00550-MONOMER + 4.27350427350427e-6*mu BSU01010-MONOMER + 4.27350427350427e-6*mu BSU16600-MONOMER + 4.27350427350427e-6*mu BSU27320-MONOMER + 4.27350427350427e-6*mu BSU37080-MONOMER + 4.27350427350427e-6*mu CPLX8J2-30 + 0.0115409803471744*mu + 0.00451829380591879 CPLX8J2-52 + 566.0 atp_c + 625 ctp_c + 507 gtp_c + 3.0 h2o_c + 720 utp_c --> RNA_BSU28630 + 3.0 adp_c + 3.0 h_c + 769.105673915 mRNA_biomass + 3.0 pi_c + 2415 ppi_c,
transcription_TU8J2_35_from_BSU25200-MONOMER,,,4.27350427350427e-6*mu BSU00550-MONOMER + 4.27350427350427e-6*mu BSU01010-MONOMER + 4.27350427350427e-6*mu BSU16600-MONOMER + 4.27350427350427e-6*mu BSU27320-MONOMER + 4.27350427350427e-6*mu BSU37080-MONOMER + 4.27350427350427e-6*mu CPLX8J2-30 + 0.00877401238816242*mu + 0.00343502584996559 CPLX8J2-52 + 480.0 atp_c + 409 ctp_c + 366 gtp_c + 3.0 h2o_c + 584 utp_c --> RNA_BSU09520 + 3.0 adp_c + 3.0 h_c + 156.881459152 mRNA_biomass + 3.0 pi_c + 1836 ppi_c,
transcription_TU8J2_1138_from_BSU25200-MONOMER,,,4.27350427350427e-6*mu BSU00550-MONOMER + 4.27350427350427e-6*mu BSU01010-MONOMER + 4.27350427350427e-6*mu BSU16600-MONOMER + 4.27350427350427e-6*mu BSU27320-MONOMER + 4.27350427350427e-6*mu BSU37080-MONOMER + 4.27350427350427e-6*mu CPLX8J2-30 + 0.0142792750630879*mu + 0.0055903361871989 CPLX8J2-52 + 761.0 atp_c + 750 ctp_c + 598 gtp_c + 3.0 h2o_c + 882 utp_c --> RNA_BSU02980 + RNA_BSU02990 + RNA_BSU03000 + 3.0 adp_c + 3.0 h_c + 951.8845008680001 mRNA_biomass + 3.0 pi_c + 2988 ppi_c,
transcription_TU8J2_282_from_BSU15320-MONOMER,,,4.27350427350427e-6*mu BSU00550-MONOMER + 4.27350427350427e-6*mu BSU01010-MONOMER + 4.27350427350427e-6*mu BSU16600-MONOMER + 4.27350427350427e-6*mu BSU27320-MONOMER + 4.27350427350427e-6*mu BSU37080-MONOMER + 4.27350427350427e-6*mu CPLX8J2-30 + 0.017184830363743*mu + 0.00672786108740537 CPLX8J2-61 + 900.0 atp_c + 1019 ctp_c + 770 gtp_c + 3.0 h2o_c + 910 utp_c --> RNA_BSU38980 + RNA_BSU38990 + 3.0 adp_c + 3.0 h_c + 434.530037908 mRNA_biomass + 3.0 pi_c + 3596 ppi_c,
transcription_TU8J2_335_from_BSU34200-MONOMER,,,4.27350427350427e-6*mu BSU00550-MONOMER + 4.27350427350427e-6*mu BSU01010-MONOMER + 4.27350427350427e-6*mu BSU16600-MONOMER + 4.27350427350427e-6*mu BSU27320-MONOMER + 4.27350427350427e-6*mu BSU37080-MONOMER + 4.27350427350427e-6*mu CPLX8J2-30 + 0.00609306415844613*mu + 0.00238543461803166 CPLX8J2-57 + 289.0 atp_c + 354 ctp_c + 278 gtp_c + 3.0 h2o_c + 357 utp_c --> RNA_BSU37790 + 3.0 adp_c + 3.0 h_c + 406.17028209499995 mRNA_biomass + 3.0 pi_c + 1275 ppi_c,
transcription_TU8J2_1123_from_BSU25200-MONOMER,,,4.27350427350427e-6*mu BSU00550-MONOMER + 4.27350427350427e-6*mu BSU01010-MONOMER + 4.27350427350427e-6*mu BSU16600-MONOMER + 4.27350427350427e-6*mu BSU27320-MONOMER + 4.27350427350427e-6*mu BSU37080-MONOMER + 4.27350427350427e-6*mu CPLX8J2-30 + 0.00576332186281257*mu + 0.00225634050929112 CPLX8J2-52 + 370.0 atp_c + 345 ctp_c + 270 gtp_c + 3.0 h2o_c + 224 utp_c --> RNA_BSU03330 + 3.0 adp_c + 3.0 h_c + 386.677159146 mRNA_biomass + 3.0 pi_c + 1206 ppi_c,
transcription_TU8J2_664_from_BSU15320-MONOMER,,,4.27350427350427e-6*mu BSU00550-MONOMER + 4.27350427350427e-6*mu BSU01010-MONOMER + 4.27350427350427e-6*mu BSU16600-MONOMER + 4.27350427350427e-6*mu BSU27320-MONOMER + 4.27350427350427e-6*mu BSU37080-MONOMER + 4.27350427350427e-6*mu CPLX8J2-30 + 0.00743592771022916*mu + 0.00291116569855471 CPLX8J2-61 + 369.0 atp_c + 364 ctp_c + 327 gtp_c + 3.0 h2o_c + 499 utp_c --> RNA_BSU25070 + 3.0 adp_c + 3.0 h_c + 360.918883174 mRNA_biomass + 3.0 pi_c + 1556 ppi_c,
transcription_TU8J2_91_from_BSU25200-MONOMER,,,4.27350427350427e-6*mu BSU00550-MONOMER + 4.27350427350427e-6*mu BSU01010-MONOMER + 4.27350427350427e-6*mu BSU16600-MONOMER + 4.27350427350427e-6*mu BSU27320-MONOMER + 4.27350427350427e-6*mu BSU37080-MONOMER + 4.27350427350427e-6*mu CPLX8J2-30 + 0.0346038255461242*mu + 0.0135473977013076 CPLX8J2-52 + 1890.0 atp_c + 1701 ctp_c + 1478 gtp_c + 3.0 h2o_c + 2175 utp_c --> RNA_BSU05810 + RNA_BSU05820 + RNA_BSU05830 + RNA_BSU05860 + 3.0 adp_c + 3.0 h_c + 917.553251074 mRNA_biomass + 3.0 pi_c + 7241 ppi_c,
transcription_TU8J2_1210_from_BSU25200-MONOMER,,,4.27350427350427e-6*mu BSU00550-MONOMER + 4.27350427350427e-6*mu BSU01010-MONOMER + 4.27350427350427e-6*mu BSU16600-MONOMER + 4.27350427350427e-6*mu BSU27320-MONOMER + 4.27350427350427e-6*mu BSU37080-MONOMER + 4.27350427350427e-6*mu CPLX8J2-30 + 0.00608828528459636*mu + 0.00238356368891948 CPLX8J2-52 + 353.0 atp_c + 261 ctp_c + 237 gtp_c + 3.0 h2o_c + 426 utp_c --> RNA_BSU00140 + RNA_BSU00150 + 3.0 adp_c + 3.0 h_c + 407.073337358 mRNA_biomass + 3.0 pi_c + 1274 ppi_c,
transcription_TU8J2_1007_from_BSU25200-MONOMER,,,4.27350427350427e-6*mu BSU00550-MONOMER + 4.27350427350427e-6*mu BSU01010-MONOMER + 4.27350427350427e-6*mu BSU16600-MONOMER + 4.27350427350427e-6*mu BSU27320-MONOMER + 4.27350427350427e-6*mu BSU37080-MONOMER + 4.27350427350427e-6*mu CPLX8J2-30 + 0.00918021666539216*mu + 0.00359405482450103 CPLX8J2-52 + 526.0 atp_c + 487 ctp_c + 396 gtp_c + 3.0 h2o_c + 515 utp_c --> RNA_BSU07920 + 3.0 adp_c + 3.0 h_c + 338.260194196 mRNA_biomass + 3.0 pi_c + 1921 ppi_c,
transcription_TU8J2_268_from_BSU25200-MONOMER,,,4.27350427350427e-6*mu BSU00550-MONOMER + 4.27350427350427e-6*mu BSU01010-MONOMER + 4.27350427350427e-6*mu BSU16600-MONOMER + 4.27350427350427e-6*mu BSU27320-MONOMER + 4.27350427350427e-6*mu BSU37080-MONOMER + 4.27350427350427e-6*mu CPLX8J2-30 + 0.0357603130177666*mu + 0.0140001625464556 CPLX8J2-52 + 1845.0 atp_c + 1940 ctp_c + 1705 gtp_c + 3.0 h2o_c + 1996 utp_c --> RNA_BSU39350 + RNA_BSU39360 + RNA_BSU39370 + RNA_BSU39380 + RNA_BSU39390 + 3.0 adp_c + 3.0 h_c + 2186.4375460799997 mRNA_biomass + 3.0 pi_c + 7483 ppi_c,
transcription_TU8J2_998_from_BSU34200-MONOMER,,,4.27350427350427e-6*mu BSU00550-MONOMER + 4.27350427350427e-6*mu BSU01010-MONOMER + 4.27350427350427e-6*mu BSU16600-MONOMER + 4.27350427350427e-6*mu BSU27320-MONOMER + 4.27350427350427e-6*mu BSU37080-MONOMER + 4.27350427350427e-6*mu CPLX8J2-30 + 0.0221787535367439*mu + 0.00868298200963524 CPLX8J2-57 + 994.0 atp_c + 1282 ctp_c + 1033 gtp_c + 3.0 h2o_c + 1335 utp_c --> RNA_BSU08060 + RNA_BSU08070 + RNA_BSU08080 + RNA_BSU08090 + 3.0 adp_c + 3.0 h_c + 1466.9461773449998 mRNA_biomass + 3.0 pi_c + 4641 ppi_c,
transcription_TU8J2_32_from_BSU25200-MONOMER,,,4.27350427350427e-6*mu BSU00550-MONOMER + 4.27350427350427e-6*mu BSU01010-MONOMER + 4.27350427350427e-6*mu BSU16600-MONOMER + 4.27350427350427e-6*mu BSU27320-MONOMER + 4.27350427350427e-6*mu BSU37080-MONOMER + 4.27350427350427e-6*mu CPLX8J2-30 + 0.0323147449720884*mu + 0.0126512226565726 CPLX8J2-52 + 0.000205128205128205*mu RNA_degradosome + 1611.0 atp_c + 2014 ctp_c + 1583 gtp_c + 648.0 h2o_c + 0.000205128205128205*mu rRNA_containing_excision_machinery + 1686 utp_c --> RNA_BSU_rRNA_19 + RNA_BSU_rRNA_20 + RNA_BSU_rRNA_21 + RNA_BSU_tRNA_52 + RNA_BSU_tRNA_53 + RNA_BSU_tRNA_54 + RNA_BSU_tRNA_55 + RNA_BSU_tRNA_56 + RNA_BSU_tRNA_57 + RNA_BSU_tRNA_58 + RNA_BSU_tRNA_59 + RNA_BSU_tRNA_60 + RNA_BSU_tRNA_61 + RNA_BSU_tRNA_62 + RNA_BSU_tRNA_63 + RNA_BSU_tRNA_64 + RNA_BSU_tRNA_65 + RNA_BSU_tRNA_66 + RNA_BSU_tRNA_67 + RNA_BSU_tRNA_68 + RNA_BSU_tRNA_69 + RNA_BSU_tRNA_70 + RNA_BSU_tRNA_71 + RNA_BSU_tRNA_72 + 132.0 adp_c + 212 amp_c + 58 cmp_c + 76 gmp_c + 648.0 h_c + 132.0 pi_c + 6762 ppi_c + 1464.797062641 rRNA_biomass + 527.317885165 tRNA_biomass + 170 ump_c,
transcription_TU8J2_449_from_BSU25200-MONOMER,,,4.27350427350427e-6*mu BSU00550-MONOMER + 4.27350427350427e-6*mu BSU01010-MONOMER + 4.27350427350427e-6*mu BSU16600-MONOMER + 4.27350427350427e-6*mu BSU27320-MONOMER + 4.27350427350427e-6*mu BSU37080-MONOMER + 4.27350427350427e-6*mu CPLX8J2-30 + 0.0170080120313018*mu + 0.00665863671025464 CPLX8J2-52 + 825.0 atp_c + 959 ctp_c + 794 gtp_c + 3.0 h2o_c + 984 utp_c --> RNA_BSU33430 + RNA_BSU33440 + 3.0 adp_c + 3.0 h_c + 1127.0776757540002 mRNA_biomass + 3.0 pi_c + 3559 ppi_c,
transcription_TU8J2_1095_from_BSU25200-MONOMER,,,4.27350427350427e-6*mu BSU00550-MONOMER + 4.27350427350427e-6*mu BSU01010-MONOMER + 4.27350427350427e-6*mu BSU16600-MONOMER + 4.27350427350427e-6*mu BSU27320-MONOMER + 4.27350427350427e-6*mu CPLX8J2-30 + 0.00508950064999618*mu + 0.0019925395044735 CPLX8J2-52 + 254 atp_c + 292 ctp_c + 236 gtp_c + 283 utp_c --> RNA_BSU04000 + 339.77121404499997 mRNA_biomass + 1065 ppi_c,
