




Analysis Type:	PANTHER Overrepresentation Test (Released 20231017)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.7942786 Released 2023-01-05
Analyzed List:	FS_True_MC_False_VG_False.txt (Bacillus subtilis)
Reference List:	reference.txt (Bacillus subtilis)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	reference.txt - REFLIST (883)	FS_True_MC_False_VG_False.txt (2)	FS_True_MC_False_VG_False.txt (expected)	FS_True_MC_False_VG_False.txt (over/under)	FS_True_MC_False_VG_False.txt (fold Enrichment)	FS_True_MC_False_VG_False.txt (raw P-value)	FS_True_MC_False_VG_False.txt (FDR)
purine nucleoside catabolic process (GO:0006152)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
response to xenobiotic stimulus (GO:0009410)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
tRNA 3'-end processing (GO:0042780)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
response to cold (GO:0009409)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
response to heat (GO:0009408)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
xylulose 5-phosphate biosynthetic process (GO:1901159)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
adenine catabolic process (GO:0006146)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
purine nucleobase catabolic process (GO:0006145)	7	0	.02	-	 < 0.01	1.00E00	1.00E00
purine nucleobase metabolic process (GO:0006144)	15	0	.03	-	 < 0.01	1.00E00	1.00E00
phosphoenolpyruvate-dependent sugar phosphotransferase system (GO:0009401)	23	0	.05	-	 < 0.01	1.00E00	1.00E00
proton motive force-driven plasma membrane ATP synthesis (GO:0042777)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
homocysteine metabolic process (GO:0050667)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
ATP synthesis coupled electron transport (GO:0042773)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of DNA-templated DNA replication initiation (GO:0030174)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
response to nutrient (GO:0007584)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
cellular biogenic amine catabolic process (GO:0042402)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
biogenic amine biosynthetic process (GO:0042401)	14	0	.03	-	 < 0.01	1.00E00	1.00E00
base conversion or substitution editing (GO:0016553)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
erythrose 4-phosphate/phosphoenolpyruvate family amino acid biosynthetic process (GO:1902223)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
erythrose 4-phosphate/phosphoenolpyruvate family amino acid metabolic process (GO:1902221)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
protein N-linked glycosylation (GO:0006487)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
carbohydrate derivative biosynthetic process (GO:1901137)	106	0	.24	-	 < 0.01	1.00E00	1.00E00
protein glycosylation (GO:0006486)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
carbohydrate derivative catabolic process (GO:1901136)	15	0	.03	-	 < 0.01	1.00E00	1.00E00
carbohydrate derivative metabolic process (GO:1901135)	144	0	.33	-	 < 0.01	1.00E00	1.00E00
pyrimidine-containing compound salvage (GO:0008655)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
phospholipid biosynthetic process (GO:0008654)	21	0	.05	-	 < 0.01	1.00E00	1.00E00
lipopolysaccharide metabolic process (GO:0008653)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
quinolinate biosynthetic process (GO:0019805)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
amino acid biosynthetic process (GO:0008652)	107	0	.24	-	 < 0.01	1.00E00	1.00E00
molybdopterin cofactor biosynthetic process (GO:0032324)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
oxidative phosphorylation (GO:0006119)	11	0	.02	-	 < 0.01	1.00E00	1.00E00
heme O biosynthetic process (GO:0048034)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
heme O metabolic process (GO:0048033)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
fermentation (GO:0006113)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
energy reserve metabolic process (GO:0006112)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
hydrogen peroxide catabolic process (GO:0042744)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
hydrogen peroxide metabolic process (GO:0042743)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
hexose transmembrane transport (GO:0008645)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
carbohydrate transport (GO:0008643)	37	0	.08	-	 < 0.01	1.00E00	1.00E00
dimethylallyl diphosphate metabolic process (GO:0050993)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
dimethylallyl diphosphate biosynthetic process (GO:0050992)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
malate metabolic process (GO:0006108)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
cellular response to stimulus (GO:0051716)	22	0	.05	-	 < 0.01	1.00E00	1.00E00
fumarate metabolic process (GO:0006106)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
succinyl-CoA metabolic process (GO:0006104)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
citrate metabolic process (GO:0006101)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
arabinan catabolic process (GO:0031222)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
arabinan metabolic process (GO:0031221)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
D-xylose metabolic process (GO:0042732)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
fatty acid elongation (GO:0030497)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
maturation of SSU-rRNA (GO:0030490)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
mannitol transmembrane transport (GO:0015797)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
response to endogenous stimulus (GO:0009719)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
response to other organism (GO:0051707)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glycerol-3-phosphate transmembrane transport (GO:0015794)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
'de novo' protein folding (GO:0006458)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
glycerol transmembrane transport (GO:0015793)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
protein folding (GO:0006457)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
polyol transmembrane transport (GO:0015791)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
catechol-containing compound biosynthetic process (GO:0009713)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
catechol-containing compound metabolic process (GO:0009712)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
flavin-containing compound biosynthetic process (GO:0042727)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
flavin-containing compound metabolic process (GO:0042726)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of translational fidelity (GO:0006450)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
thiamine-containing compound biosynthetic process (GO:0042724)	10	0	.02	-	 < 0.01	1.00E00	1.00E00
thiamine-containing compound metabolic process (GO:0042723)	10	0	.02	-	 < 0.01	1.00E00	1.00E00
tRNA methylation (GO:0030488)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
transcription antitermination (GO:0031564)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
queuosine biosynthetic process (GO:0008616)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
pyridoxine biosynthetic process (GO:0008615)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
pyridoxine metabolic process (GO:0008614)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
tRNA wobble base modification (GO:0002097)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
phenol-containing compound biosynthetic process (GO:0046189)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
lipid biosynthetic process (GO:0008610)	42	0	.10	-	 < 0.01	1.00E00	1.00E00
aldehyde biosynthetic process (GO:0046184)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
teichoic acid transport (GO:0015777)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
polysaccharide transport (GO:0015774)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
valyl-tRNA aminoacylation (GO:0006438)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
oligosaccharide transport (GO:0015772)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
tryptophanyl-tRNA aminoacylation (GO:0006436)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
trehalose transport (GO:0015771)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
threonyl-tRNA aminoacylation (GO:0006435)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
seryl-tRNA aminoacylation (GO:0006434)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphate-containing compound metabolic process (GO:0006796)	177	0	.40	-	 < 0.01	1.00E00	1.00E00
prolyl-tRNA aminoacylation (GO:0006433)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
phenylalanyl-tRNA aminoacylation (GO:0006432)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
methionyl-tRNA aminoacylation (GO:0006431)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphorus metabolic process (GO:0006793)	182	0	.41	-	 < 0.01	1.00E00	1.00E00
regulation of termination of DNA-templated transcription (GO:0031554)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
lysyl-tRNA aminoacylation (GO:0006430)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
flavin adenine dinucleotide biosynthetic process (GO:0072388)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
sulfur compound metabolic process (GO:0006790)	58	0	.13	-	 < 0.01	1.00E00	1.00E00
flavin adenine dinucleotide metabolic process (GO:0072387)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
D-gluconate catabolic process (GO:0046177)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
aldonic acid catabolic process (GO:0046176)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
polyol catabolic process (GO:0046174)	11	0	.02	-	 < 0.01	1.00E00	1.00E00
maltose transport (GO:0015768)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
reactive nitrogen species metabolic process (GO:2001057)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
disaccharide transport (GO:0015766)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
leucyl-tRNA aminoacylation (GO:0006429)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
N-acetylglucosamine transport (GO:0015764)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
isoleucyl-tRNA aminoacylation (GO:0006428)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
histidyl-tRNA aminoacylation (GO:0006427)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glycyl-tRNA aminoacylation (GO:0006426)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
glucose-6-phosphate transport (GO:0015760)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
cysteinyl-tRNA aminoacylation (GO:0006423)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
aspartyl-tRNA aminoacylation (GO:0006422)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
heme A biosynthetic process (GO:0006784)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
asparaginyl-tRNA aminoacylation (GO:0006421)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
heme biosynthetic process (GO:0006783)	13	0	.03	-	 < 0.01	1.00E00	1.00E00
arginyl-tRNA aminoacylation (GO:0006420)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
protoporphyrinogen IX biosynthetic process (GO:0006782)	7	0	.02	-	 < 0.01	1.00E00	1.00E00
uroporphyrinogen III biosynthetic process (GO:0006780)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glycerol-3-phosphate catabolic process (GO:0046168)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
glycerol-3-phosphate biosynthetic process (GO:0046167)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glyceraldehyde-3-phosphate biosynthetic process (GO:0046166)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
alcohol biosynthetic process (GO:0046165)	13	0	.03	-	 < 0.01	1.00E00	1.00E00
alcohol catabolic process (GO:0046164)	15	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of DNA-templated DNA replication (GO:0090329)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
heme a metabolic process (GO:0046160)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
cellular response to iron ion (GO:0071281)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
fructose transmembrane transport (GO:0015755)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
protein-containing complex disassembly (GO:0032984)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
alanyl-tRNA aminoacylation (GO:0006419)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
tRNA aminoacylation for protein translation (GO:0006418)	19	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of translation (GO:0006417)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
porphyrin-containing compound biosynthetic process (GO:0006779)	13	0	.03	-	 < 0.01	1.00E00	1.00E00
D-ribose transmembrane transport (GO:0015752)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
porphyrin-containing compound metabolic process (GO:0006778)	13	0	.03	-	 < 0.01	1.00E00	1.00E00
translational termination (GO:0006415)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
Mo-molybdopterin cofactor biosynthetic process (GO:0006777)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
pentose transmembrane transport (GO:0015750)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
translational elongation (GO:0006414)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
translational initiation (GO:0006413)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
fat-soluble vitamin metabolic process (GO:0006775)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
translation (GO:0006412)	84	0	.19	-	 < 0.01	1.00E00	1.00E00
thiamine metabolic process (GO:0006772)	10	0	.02	-	 < 0.01	1.00E00	1.00E00
riboflavin metabolic process (GO:0006771)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
L-glutamate biosynthetic process (GO:0097054)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
inorganic ion import across plasma membrane (GO:0099587)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
siroheme metabolic process (GO:0046156)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
monosaccharide transmembrane transport (GO:0015749)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
organophosphate ester transport (GO:0015748)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
citrate transport (GO:0015746)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
succinate transport (GO:0015744)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
malate transport (GO:0015743)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
fumarate transport (GO:0015741)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
biotin metabolic process (GO:0006768)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
C4-dicarboxylate transport (GO:0015740)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
water-soluble vitamin metabolic process (GO:0006767)	39	0	.09	-	 < 0.01	1.00E00	1.00E00
D-serine catabolic process (GO:0036088)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
vitamin metabolic process (GO:0006766)	40	0	.09	-	 < 0.01	1.00E00	1.00E00
mRNA catabolic process (GO:0006402)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
RNA catabolic process (GO:0006401)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
tRNA modification (GO:0006400)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
L-proline biosynthetic process (GO:0055129)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
dihydrofolate biosynthetic process (GO:0006761)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
folic acid-containing compound metabolic process (GO:0006760)	9	0	.02	-	 < 0.01	1.00E00	1.00E00
tricarboxylic acid metabolic process (GO:0072350)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
pigment biosynthetic process (GO:0046148)	13	0	.03	-	 < 0.01	1.00E00	1.00E00
L-methionine salvage (GO:0071267)	8	0	.02	-	 < 0.01	1.00E00	1.00E00
'de novo' L-methionine biosynthetic process (GO:0071266)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
L-methionine biosynthetic process (GO:0071265)	11	0	.02	-	 < 0.01	1.00E00	1.00E00
nucleic acid phosphodiester bond hydrolysis (GO:0090305)	9	0	.02	-	 < 0.01	1.00E00	1.00E00
D-serine metabolic process (GO:0070178)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ATP biosynthetic process (GO:0006754)	8	0	.02	-	 < 0.01	1.00E00	1.00E00
nucleoside phosphate metabolic process (GO:0006753)	90	0	.20	-	 < 0.01	1.00E00	1.00E00
sulfur compound transport (GO:0072348)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
glutathione catabolic process (GO:0006751)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glutathione biosynthetic process (GO:0006750)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
lactam catabolic process (GO:0072340)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
pyrimidine nucleoside catabolic process (GO:0046135)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
nicotinamide nucleotide metabolic process (GO:0046496)	13	0	.03	-	 < 0.01	1.00E00	1.00E00
establishment of competence for transformation (GO:0030420)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
pyrimidine ribonucleoside catabolic process (GO:0046133)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
pyrimidine ribonucleoside metabolic process (GO:0046131)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
lipid A metabolic process (GO:0046493)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
lactate transport (GO:0015727)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
isopentenyl diphosphate metabolic process (GO:0046490)	7	0	.02	-	 < 0.01	1.00E00	1.00E00
protein targeting to ER (GO:0045047)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
formate transport (GO:0015724)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glutathione metabolic process (GO:0006749)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
FAD biosynthetic process (GO:0006747)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ubiquinone biosynthetic process (GO:0006744)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ubiquinone metabolic process (GO:0006743)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
lactam metabolic process (GO:0072338)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
NADP biosynthetic process (GO:0006741)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
modified amino acid transport (GO:0072337)	8	0	.02	-	 < 0.01	1.00E00	1.00E00
NADPH regeneration (GO:0006740)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
purine ribonucleoside biosynthetic process (GO:0046129)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
monocarboxylic acid biosynthetic process (GO:0072330)	29	0	.07	-	 < 0.01	1.00E00	1.00E00
purine ribonucleoside metabolic process (GO:0046128)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol metabolic process (GO:0046488)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
cellular response to metal ion (GO:0071248)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
pyrimidine deoxyribonucleoside metabolic process (GO:0046125)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glyoxylate metabolic process (GO:0046487)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
glycerolipid metabolic process (GO:0046486)	8	0	.02	-	 < 0.01	1.00E00	1.00E00
monocarboxylic acid transport (GO:0015718)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular response to inorganic substance (GO:0071241)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
hexose phosphate transport (GO:0015712)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
NADP metabolic process (GO:0006739)	7	0	.02	-	 < 0.01	1.00E00	1.00E00
organic anion transport (GO:0015711)	54	0	.12	-	 < 0.01	1.00E00	1.00E00
secretion by cell (GO:0032940)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
NADH regeneration (GO:0006735)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
monocarboxylic acid catabolic process (GO:0072329)	18	0	.04	-	 < 0.01	1.00E00	1.00E00
one-carbon metabolic process (GO:0006730)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
nonribosomal peptide biosynthetic process (GO:0019184)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
queuosine metabolic process (GO:0046116)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
nucleobase catabolic process (GO:0046113)	8	0	.02	-	 < 0.01	1.00E00	1.00E00
nucleobase biosynthetic process (GO:0046112)	13	0	.03	-	 < 0.01	1.00E00	1.00E00
glycerophospholipid biosynthetic process (GO:0046474)	7	0	.02	-	 < 0.01	1.00E00	1.00E00
phosphatidic acid metabolic process (GO:0046473)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
xanthine metabolic process (GO:0046110)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphatidylglycerol metabolic process (GO:0046471)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
nitrite transport (GO:0015707)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
nitrate transmembrane transport (GO:0015706)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
arsenite transport (GO:0015700)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
terpenoid metabolic process (GO:0006721)	8	0	.02	-	 < 0.01	1.00E00	1.00E00
isoprenoid metabolic process (GO:0006720)	13	0	.03	-	 < 0.01	1.00E00	1.00E00
xylulose catabolic process (GO:0005998)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
xylulose metabolic process (GO:0005997)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
monosaccharide metabolic process (GO:0005996)	36	0	.08	-	 < 0.01	1.00E00	1.00E00
uracil biosynthetic process (GO:0046107)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
membrane lipid biosynthetic process (GO:0046467)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
trehalose catabolic process (GO:0005993)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
thymidine metabolic process (GO:0046104)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
trehalose metabolic process (GO:0005991)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of binding (GO:0051099)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
hypoxanthine metabolic process (GO:0046100)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of binding (GO:0051098)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
glycerolipid biosynthetic process (GO:0045017)	7	0	.02	-	 < 0.01	1.00E00	1.00E00
small molecule biosynthetic process (GO:0044283)	204	0	.46	-	 < 0.01	1.00E00	1.00E00
small molecule catabolic process (GO:0044282)	84	0	.19	-	 < 0.01	1.00E00	1.00E00
small molecule metabolic process (GO:0044281)	433	0	.98	-	 < 0.01	5.00E-01	1.00E00
short-chain fatty acid metabolic process (GO:0046459)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
sucrose metabolic process (GO:0005985)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
disaccharide metabolic process (GO:0005984)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
zinc ion transmembrane transport (GO:0071577)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
glycogen catabolic process (GO:0005980)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
valine biosynthetic process (GO:0009099)	8	0	.02	-	 < 0.01	1.00E00	1.00E00
dihydrofolate metabolic process (GO:0046452)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
leucine biosynthetic process (GO:0009098)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
diaminopimelate metabolic process (GO:0046451)	9	0	.02	-	 < 0.01	1.00E00	1.00E00
isoleucine biosynthetic process (GO:0009097)	13	0	.03	-	 < 0.01	1.00E00	1.00E00
chaperone cofactor-dependent protein refolding (GO:0051085)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
aromatic amino acid family biosynthetic process, prephenate pathway (GO:0009095)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
'de novo' post-translational protein folding (GO:0051084)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
L-phenylalanine biosynthetic process (GO:0009094)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
'de novo' cotranslational protein folding (GO:0051083)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
homoserine metabolic process (GO:0009092)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
homoserine biosynthetic process (GO:0009090)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
protein localization to membrane (GO:0072657)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
sulfur compound catabolic process (GO:0044273)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
glycogen biosynthetic process (GO:0005978)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
sulfur compound biosynthetic process (GO:0044272)	52	0	.12	-	 < 0.01	1.00E00	1.00E00
glycogen metabolic process (GO:0005977)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
polysaccharide metabolic process (GO:0005976)	15	0	.03	-	 < 0.01	1.00E00	1.00E00
cellular nitrogen compound catabolic process (GO:0044270)	21	0	.05	-	 < 0.01	1.00E00	1.00E00
carbohydrate metabolic process (GO:0005975)	91	0	.21	-	 < 0.01	1.00E00	1.00E00
FMN metabolic process (GO:0046444)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
response to organonitrogen compound (GO:0010243)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
FAD metabolic process (GO:0046443)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
lysine biosynthetic process via diaminopimelate (GO:0009089)	9	0	.02	-	 < 0.01	1.00E00	1.00E00
threonine biosynthetic process (GO:0009088)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
methionine catabolic process (GO:0009087)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
L-lysine metabolic process (GO:0046440)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
methionine biosynthetic process (GO:0009086)	17	0	.04	-	 < 0.01	1.00E00	1.00E00
lysine biosynthetic process (GO:0009085)	10	0	.02	-	 < 0.01	1.00E00	1.00E00
glutamine family amino acid biosynthetic process (GO:0009084)	22	0	.05	-	 < 0.01	1.00E00	1.00E00
branched-chain amino acid catabolic process (GO:0009083)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
branched-chain amino acid biosynthetic process (GO:0009082)	17	0	.04	-	 < 0.01	1.00E00	1.00E00
branched-chain amino acid metabolic process (GO:0009081)	18	0	.04	-	 < 0.01	1.00E00	1.00E00
pyruvate family amino acid catabolic process (GO:0009080)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
rRNA base methylation (GO:0070475)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
sodium ion export across plasma membrane (GO:0036376)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
cellular response to oxygen-containing compound (GO:1901701)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of rRNA processing (GO:2000234)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
response to oxygen-containing compound (GO:1901700)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of rRNA processing (GO:2000232)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
